idcode,year,age,collgrad,occ_code,white,elnwage1,elnwage2,elnwage3,elnwage4,elnwage5,elnwage6,elnwage7,elnwage8
4,80,34,1,8,1,2.251187,2.258531,1.890228,1.85998,2.204572,1.745582,1.857448,1.998585
4,82,36,1,8,1,2.275176,2.293371,1.8998,1.884393,2.205383,1.753485,1.865365,2.023837
4,83,37,1,8,1,2.283866,2.307629,1.902478,1.894589,2.200417,1.755611,1.865832,2.03618
4,85,39,1,8,1,2.294638,2.329823,1.903621,1.910961,2.17974,1.756211,1.859784,2.060296
4,87,41,1,7,1,2.296599,2.343585,1.899144,1.921973,2.144738,1.751942,1.844424,2.083655
4,88,43,1,8,1,2.289748,2.348916,1.889048,1.927624,2.095411,1.742803,1.819754,2.106257
5,68,22,0,3,1,1.835296,1.675441,1.64095,1.504218,1.613499,1.577581,1.370178,1.484103
5,69,23,0,3,1,1.874826,1.719208,1.663297,1.533175,1.658671,1.596749,1.403232,1.499096
5,70,24,0,3,1,1.912153,1.760867,1.684239,1.560792,1.700261,1.614699,1.433959,1.513899
5,71,25,0,3,1,1.947277,1.800418,1.703775,1.58707,1.73827,1.631433,1.462359,1.528513
5,72,26,0,3,1,1.980199,1.837861,1.721907,1.612007,1.772698,1.646948,1.48843,1.542938
5,73,27,0,3,1,2.010917,1.873196,1.738635,1.635604,1.803544,1.661247,1.512174,1.557174
5,75,29,0,3,1,2.065746,1.937544,1.767874,1.678778,1.854493,1.686192,1.552679,1.585077
5,77,31,0,3,1,2.09648,1.927375,1.766919,1.646734,1.815852,1.673724,1.594195,1.595257
5,78,32,0,3,1,2.116185,1.952172,1.776622,1.663631,1.828792,1.681936,1.6063,1.608546
5,80,34,0,3,1,2.148985,1.995443,1.791813,1.693404,1.843929,1.694709,1.623528,1.634556
5,82,36,0,3,1,2.172974,2.030282,1.801384,1.717817,1.84474,1.702612,1.631445,1.659808
6,68,21,0,6,1,1.793564,1.629567,1.617199,1.47392,1.564746,1.557196,1.334796,1.46892
6,69,22,0,6,1,1.820014,1.609355,1.616375,1.43436,1.538234,1.545037,1.3805,1.467137
6,70,23,0,6,1,1.803474,1.607115,1.594803,1.357486,1.551697,1.501808,1.263092,1.365551
6,71,24,0,6,1,1.912153,1.760867,1.684239,1.560792,1.700261,1.614699,1.433959,1.513899
6,72,25,0,6,1,1.947277,1.800418,1.703775,1.58707,1.73827,1.631433,1.462359,1.528513
6,73,26,0,6,1,1.980199,1.837861,1.721907,1.612007,1.772698,1.646948,1.48843,1.542938
6,75,28,0,6,1,1.968081,1.794331,1.685463,1.482172,1.723836,1.579387,1.39345,1.437676
6,77,30,0,6,1,2.018504,1.854464,1.711893,1.522666,1.767622,1.601898,1.429299,1.465201
6,78,31,0,5,1,2.040411,1.881368,1.723001,1.540903,1.784144,1.611328,1.443733,1.478679
6,80,33,0,6,1,2.077617,1.928854,1.741002,1.573356,1.806442,1.626535,1.465616,1.505067
6,82,35,0,6,1,2.106012,1.96791,1.753383,1.600449,1.814416,1.636873,1.478188,1.530699
6,83,36,0,6,1,2.116905,1.984276,1.757466,1.611985,1.813031,1.640216,1.480983,1.54323
6,85,38,0,6,1,2.132082,2.010684,1.761419,1.631038,1.799516,1.64325,1.47959,1.567725
6,87,40,0,6,1,2.138449,2.028662,1.759752,1.64473,1.771677,1.641416,1.468886,1.591463
6,88,42,0,6,1,2.136004,2.038209,1.752465,1.653061,1.729512,1.634712,1.448871,1.614443
7,68,19,0,3,1,1.70349,1.531495,1.565482,1.409304,1.456496,1.512775,1.257048,1.437988
7,69,19,0,3,1,1.70349,1.531495,1.565482,1.409304,1.456496,1.512775,1.257048,1.437988
7,70,21,0,3,1,1.778281,1.563481,1.592623,1.404063,1.489481,1.524652,1.345118,1.451954
7,71,22,0,3,1,1.820014,1.609355,1.616375,1.43436,1.538234,1.545037,1.3805,1.467137
7,72,23,0,3,1,1.859543,1.653122,1.638721,1.463318,1.583405,1.564204,1.413554,1.48213
7,73,23,0,3,1,1.803474,1.607115,1.594803,1.357486,1.551697,1.501808,1.263092,1.365551
7,87,37,0,3,1,2.125595,1.998534,1.760145,1.622182,1.808064,1.642342,1.48145,1.555572
7,88,39,0,3,1,2.136367,2.020727,1.761288,1.638554,1.787387,1.642942,1.475402,1.579689
9,70,18,0,3,1,1.655149,1.479298,1.537516,1.374986,1.396999,1.488738,1.214683,1.422237
9,71,19,0,3,1,1.70349,1.531495,1.565482,1.409304,1.456496,1.512775,1.257048,1.437988
9,72,20,0,3,1,1.749628,1.581585,1.592043,1.442282,1.512412,1.535594,1.297086,1.453549
9,73,21,0,3,1,1.778281,1.563481,1.592623,1.404063,1.489481,1.524652,1.345118,1.451954
9,75,23,0,3,1,1.859543,1.653122,1.638721,1.463318,1.583405,1.564204,1.413554,1.48213
9,77,25,0,3,1,1.931995,1.734331,1.6792,1.517213,1.663005,1.598888,1.472681,1.511548
9,78,26,0,3,1,1.964916,1.771775,1.697332,1.54215,1.697433,1.614404,1.498752,1.525973
9,80,28,0,3,1,2.039433,1.906424,1.753957,1.657861,1.83081,1.674328,1.53359,1.57122
9,82,30,0,3,1,2.089856,1.966557,1.780387,1.698355,1.874596,1.696839,1.56944,1.598745
9,83,31,0,3,1,2.111763,1.993461,1.791494,1.716592,1.891117,1.706269,1.583873,1.612223
9,85,33,0,2,1,2.148969,2.040948,1.809495,1.749045,1.913416,1.721476,1.605756,1.638612
9,87,35,0,2,1,2.177364,2.080003,1.821877,1.776138,1.92139,1.731814,1.618329,1.664243
9,88,37,0,2,1,2.196947,2.110627,1.828639,1.79787,1.915038,1.737283,1.62159,1.689116
10,69,17,0,6,1,1.604605,1.424992,1.508145,1.339328,1.333921,1.463484,1.16999,1.406298
10,70,18,0,6,1,1.655149,1.479298,1.537516,1.374986,1.396999,1.488738,1.214683,1.422237
10,71,19,0,6,1,1.70349,1.531495,1.565482,1.409304,1.456496,1.512775,1.257048,1.437988
10,72,20,0,6,1,1.749628,1.581585,1.592043,1.442282,1.512412,1.535594,1.297086,1.453549
10,75,23,0,6,1,1.859543,1.653122,1.638721,1.463318,1.583405,1.564204,1.413554,1.48213
10,77,25,0,6,1,1.875926,1.688325,1.635282,1.411381,1.631296,1.536492,1.322218,1.394969
10,78,26,0,6,1,1.964916,1.771775,1.697332,1.54215,1.697433,1.614404,1.498752,1.525973
10,80,28,0,4,1,2.02415,1.840338,1.729381,1.588004,1.755545,1.641784,1.543912,1.554254
10,82,30,0,4,1,2.074573,1.900471,1.755811,1.628498,1.799331,1.664294,1.579762,1.581779
12,87,39,1,2,1,2.294638,2.329823,1.903621,1.910961,2.17974,1.756211,1.859784,2.060296
12,88,40,1,2,1,2.29672,2.337757,1.902085,1.917137,2.164029,1.754685,1.853268,2.07207
13,70,22,0,1,1,1.763944,1.563348,1.572457,1.328529,1.506525,1.482641,1.230038,1.350558
13,71,23,0,1,1,1.803474,1.607115,1.594803,1.357486,1.551697,1.501808,1.263092,1.365551
13,73,25,0,1,1,1.875926,1.688325,1.635282,1.411381,1.631296,1.536492,1.322218,1.394969
13,75,27,0,3,1,1.939565,1.761104,1.670141,1.459915,1.696571,1.566306,1.372034,1.42363
13,78,30,0,1,1,2.018504,1.854464,1.711893,1.522666,1.767622,1.601898,1.429299,1.465201
13,80,32,0,1,1,2.060116,1.906165,1.732704,1.5578,1.797084,1.61954,1.455838,1.491968
13,82,34,0,3,1,2.092916,1.949436,1.747895,1.587573,1.81222,1.632312,1.473066,1.517978
13,83,35,0,3,1,2.106012,1.96791,1.753383,1.600449,1.814416,1.636873,1.478188,1.530699
13,85,37,0,3,1,2.125595,1.998534,1.760145,1.622182,1.808064,1.642342,1.48145,1.555572
13,87,39,0,3,1,2.136367,2.020727,1.761288,1.638554,1.787387,1.642942,1.475402,1.579689
13,88,40,0,3,1,2.138449,2.028662,1.759752,1.64473,1.771677,1.641416,1.468886,1.591463
14,87,39,0,1,1,2.136367,2.020727,1.761288,1.638554,1.787387,1.642942,1.475402,1.579689
14,88,40,0,1,1,2.138449,2.028662,1.759752,1.64473,1.771677,1.641416,1.468886,1.591463
15,77,28,1,1,1,2.126352,2.103427,1.827797,1.75458,2.116188,1.692657,1.777832,1.918283
15,78,29,1,1,1,2.208734,2.180554,1.885632,1.881328,2.171581,1.766917,1.947383,2.048719
15,80,31,1,1,1,2.198682,2.190464,1.865334,1.813311,2.176496,1.724597,1.828115,1.959286
15,82,33,1,1,1,2.235888,2.23795,1.883335,1.845764,2.198795,1.739804,1.849998,1.985675
15,83,34,1,1,1,2.251187,2.258531,1.890228,1.85998,2.204572,1.745582,1.857448,1.998585
15,85,36,1,1,1,2.275176,2.293371,1.8998,1.884393,2.205383,1.753485,1.865365,2.023837
15,87,38,1,1,1,2.290353,2.31978,1.903752,1.903445,2.191869,1.75652,1.863972,2.048332
15,88,39,1,1,1,2.294638,2.329823,1.903621,1.910961,2.17974,1.756211,1.859784,2.060296
16,70,21,0,1,1,1.793564,1.629567,1.617199,1.47392,1.564746,1.557196,1.334796,1.46892
16,71,22,0,1,1,1.835296,1.675441,1.64095,1.504218,1.613499,1.577581,1.370178,1.484103
16,72,23,0,1,1,1.818757,1.673201,1.619379,1.427343,1.626962,1.534353,1.25277,1.382517
16,73,24,0,1,1,1.856084,1.71486,1.640321,1.454961,1.668552,1.552303,1.283497,1.397321
16,75,26,0,1,1,1.92413,1.791854,1.677989,1.506176,1.740989,1.584552,1.337968,1.42636
16,77,28,0,1,1,1.968081,1.794331,1.685463,1.482172,1.723836,1.579387,1.39345,1.437676
16,78,29,0,1,1,1.994394,1.825451,1.699381,1.503089,1.74752,1.591251,1.412538,1.451533
16,80,31,0,2,1,2.040411,1.881368,1.723001,1.540903,1.784144,1.611328,1.443733,1.478679
16,82,33,0,1,1,2.077617,1.928854,1.741002,1.573356,1.806442,1.626535,1.465616,1.505067
16,83,34,0,1,1,2.092916,1.949436,1.747895,1.587573,1.81222,1.632312,1.473066,1.517978
16,85,36,0,1,1,2.116905,1.984276,1.757466,1.611985,1.813031,1.640216,1.480983,1.54323
16,87,38,0,1,1,2.132082,2.010684,1.761419,1.631038,1.799516,1.64325,1.47959,1.567725
16,88,40,0,1,1,2.138449,2.028662,1.759752,1.64473,1.771677,1.641416,1.468886,1.591463
17,70,21,1,1,1,1.895765,1.892655,1.715614,1.640496,1.925389,1.608069,1.568716,1.832949
17,71,22,1,1,1,1.937498,1.93853,1.739366,1.670794,1.974142,1.628454,1.604098,1.848132
17,72,23,1,1,1,1.961745,1.91621,1.737137,1.629894,1.944049,1.615077,1.647474,1.846159
17,73,24,1,1,1,1.999072,1.957869,1.758079,1.657511,1.985639,1.633028,1.678201,1.860962
17,77,28,1,1,1,2.182421,2.149434,1.871715,1.860411,2.147897,1.755053,1.928294,2.034862
17,87,38,1,1,1,2.346422,2.365787,1.94767,2.009277,2.223578,1.818916,2.014434,2.164911
18,77,28,0,3,1,1.968081,1.794331,1.685463,1.482172,1.723836,1.579387,1.39345,1.437676
18,85,36,0,5,1,2.116905,1.984276,1.757466,1.611985,1.813031,1.640216,1.480983,1.54323
18,87,38,0,5,1,2.132082,2.010684,1.761419,1.631038,1.799516,1.64325,1.47959,1.567725
18,88,40,0,5,1,2.138449,2.028662,1.759752,1.64473,1.771677,1.641416,1.468886,1.591463
19,70,21,0,1,1,1.737495,1.58356,1.573281,1.368088,1.533037,1.4948,1.184333,1.352342
19,71,22,0,1,1,1.835296,1.675441,1.64095,1.504218,1.613499,1.577581,1.370178,1.484103
19,72,23,0,1,1,1.859543,1.653122,1.638721,1.463318,1.583405,1.564204,1.413554,1.48213
19,73,24,0,1,1,1.89687,1.69478,1.659663,1.490935,1.624996,1.582155,1.444281,1.496933
19,75,26,0,1,1,1.964916,1.771775,1.697332,1.54215,1.697433,1.614404,1.498752,1.525973
19,78,29,0,1,1,2.050463,1.871458,1.743299,1.608921,1.779228,1.653648,1.563001,1.568111
19,80,31,0,1,1,2.09648,1.927375,1.766919,1.646734,1.815852,1.673724,1.594195,1.595257
19,82,33,0,7,1,2.133686,1.974861,1.78492,1.679188,1.838151,1.688931,1.616078,1.621646
19,83,34,0,1,1,2.148985,1.995443,1.791813,1.693404,1.843929,1.694709,1.623528,1.634556
19,85,36,0,1,1,2.188257,2.096369,1.82596,1.787674,1.920005,1.735157,1.621123,1.676774
19,87,38,0,1,1,2.147365,2.076771,1.785994,1.700895,1.874782,1.675795,1.469268,1.584691
19,88,40,0,1,1,2.153732,2.094748,1.784327,1.714587,1.846942,1.67396,1.458564,1.608429
20,70,21,0,1,1,1.737495,1.58356,1.573281,1.368088,1.533037,1.4948,1.184333,1.352342
20,71,22,0,1,1,1.779227,1.629434,1.597032,1.398386,1.58179,1.515185,1.219716,1.367524
20,72,23,0,1,1,1.818757,1.673201,1.619379,1.427343,1.626962,1.534353,1.25277,1.382517
20,73,24,0,1,1,1.840801,1.648773,1.615745,1.385104,1.593287,1.519759,1.293819,1.380355
20,75,26,0,1,1,1.908847,1.725768,1.653414,1.436318,1.665724,1.552008,1.34829,1.409394
20,77,28,0,1,1,1.968081,1.794331,1.685463,1.482172,1.723836,1.579387,1.39345,1.437676
20,78,29,0,1,1,1.994394,1.825451,1.699381,1.503089,1.74752,1.591251,1.412538,1.451533
20,80,31,0,1,1,2.040411,1.881368,1.723001,1.540903,1.784144,1.611328,1.443733,1.478679
20,82,33,0,1,1,2.077617,1.928854,1.741002,1.573356,1.806442,1.626535,1.465616,1.505067
20,83,34,0,1,1,2.092916,1.949436,1.747895,1.587573,1.81222,1.632312,1.473066,1.517978
20,85,36,0,1,1,2.116905,1.984276,1.757466,1.611985,1.813031,1.640216,1.480983,1.54323
20,87,38,0,1,1,2.132082,2.010684,1.761419,1.631038,1.799516,1.64325,1.47959,1.567725
20,88,39,0,1,1,2.136367,2.020727,1.761288,1.638554,1.787387,1.642942,1.475402,1.579689
21,70,21,0,1,1,1.737495,1.58356,1.573281,1.368088,1.533037,1.4948,1.184333,1.352342
21,72,23,0,1,1,1.803474,1.607115,1.594803,1.357486,1.551697,1.501808,1.263092,1.365551
21,73,24,0,1,1,1.840801,1.648773,1.615745,1.385104,1.593287,1.519759,1.293819,1.380355
21,75,26,0,1,1,1.908847,1.725768,1.653414,1.436318,1.665724,1.552008,1.34829,1.409394
21,85,36,0,3,1,2.116905,1.984276,1.757466,1.611985,1.813031,1.640216,1.480983,1.54323
22,69,21,0,1,1,1.737495,1.58356,1.573281,1.368088,1.533037,1.4948,1.184333,1.352342
22,70,22,0,1,1,1.779227,1.629434,1.597032,1.398386,1.58179,1.515185,1.219716,1.367524
22,71,23,0,1,1,1.859543,1.653122,1.638721,1.463318,1.583405,1.564204,1.413554,1.48213
22,72,24,0,1,1,1.89687,1.69478,1.659663,1.490935,1.624996,1.582155,1.444281,1.496933
22,73,25,0,1,1,1.931995,1.734331,1.6792,1.517213,1.663005,1.598888,1.472681,1.511548
22,75,27,0,1,1,1.939565,1.761104,1.670141,1.459915,1.696571,1.566306,1.372034,1.42363
22,77,29,0,1,1,1.994394,1.825451,1.699381,1.503089,1.74752,1.591251,1.412538,1.451533
22,78,30,0,1,1,2.018504,1.854464,1.711893,1.522666,1.767622,1.601898,1.429299,1.465201
22,80,32,0,1,1,2.060116,1.906165,1.732704,1.5578,1.797084,1.61954,1.455838,1.491968
22,82,34,0,1,1,2.092916,1.949436,1.747895,1.587573,1.81222,1.632312,1.473066,1.517978
22,85,37,0,1,1,2.125595,1.998534,1.760145,1.622182,1.808064,1.642342,1.48145,1.555572
22,87,39,0,1,1,2.136367,2.020727,1.761288,1.638554,1.787387,1.642942,1.475402,1.579689
22,88,41,0,1,1,2.138328,2.034489,1.756811,1.649565,1.752385,1.638672,1.460042,1.603048
23,75,28,1,1,1,2.126352,2.103427,1.827797,1.75458,2.116188,1.692657,1.777832,1.918283
23,77,30,1,1,1,2.176775,2.163559,1.854227,1.795074,2.159975,1.715167,1.813681,1.945808
23,82,35,1,1,1,2.264283,2.277005,1.895717,1.872857,2.206768,1.750142,1.86257,2.011306
23,83,36,1,1,1,2.275176,2.293371,1.8998,1.884393,2.205383,1.753485,1.865365,2.023837
23,87,40,1,1,1,2.29672,2.337757,1.902085,1.917137,2.164029,1.754685,1.853268,2.07207
23,88,42,1,1,1,2.294275,2.347304,1.894798,1.925469,2.121865,1.747981,1.833253,2.095051
24,68,21,1,1,1,1.880483,1.826569,1.691039,1.570639,1.850124,1.575525,1.579038,1.815983
24,69,22,1,1,1,1.922215,1.872444,1.71479,1.600936,1.898877,1.59591,1.61442,1.831166
24,70,23,1,1,1,1.961745,1.91621,1.737137,1.629894,1.944049,1.615077,1.647474,1.846159
24,71,24,1,1,1,1.999072,1.957869,1.758079,1.657511,1.985639,1.633028,1.678201,1.860962
24,72,25,1,1,1,2.034196,1.99742,1.777615,1.683789,2.023649,1.649761,1.7066,1.875577
24,73,26,1,1,1,2.067118,2.034863,1.795747,1.708726,2.058076,1.665277,1.732672,1.890002
24,75,28,1,1,1,2.126352,2.103427,1.827797,1.75458,2.116188,1.692657,1.777832,1.918283
24,77,30,1,1,1,2.176775,2.163559,1.854227,1.795074,2.159975,1.715167,1.813681,1.945808
24,78,31,1,1,1,2.198682,2.190464,1.865334,1.813311,2.176496,1.724597,1.828115,1.959286
24,80,33,1,1,1,2.235888,2.23795,1.883335,1.845764,2.198795,1.739804,1.849998,1.985675
24,82,35,1,1,1,2.264283,2.277005,1.895717,1.872857,2.206768,1.750142,1.86257,2.011306
24,83,36,1,1,1,2.275176,2.293371,1.8998,1.884393,2.205383,1.753485,1.865365,2.023837
24,85,38,1,1,1,2.290353,2.31978,1.903752,1.903445,2.191869,1.75652,1.863972,2.048332
24,87,40,1,1,1,2.29672,2.337757,1.902085,1.917137,2.164029,1.754685,1.853268,2.07207
24,88,41,1,1,1,2.296599,2.343585,1.899144,1.921973,2.144738,1.751942,1.844424,2.083655
25,68,22,1,1,1,1.978284,1.91845,1.758708,1.706768,1.930586,1.658306,1.764882,1.947744
25,69,23,1,1,1,2.017814,1.962217,1.781055,1.735725,1.975758,1.677474,1.797937,1.962737
25,70,24,1,1,1,2.055141,2.003876,1.801997,1.763343,2.017348,1.695424,1.828663,1.977541
25,71,25,1,1,1,2.090266,2.043427,1.821533,1.78962,2.055357,1.712157,1.857063,1.992155
25,75,29,1,1,1,2.208734,2.180554,1.885632,1.881328,2.171581,1.766917,1.947383,2.048719
25,77,30,1,1,1,2.232844,2.209566,1.898145,1.900905,2.191684,1.777564,1.964144,2.062386
25,78,32,1,1,1,2.274456,2.261268,1.918955,1.936039,2.221145,1.795205,1.990682,2.089154
25,80,33,1,7,1,2.291957,2.283957,1.927253,1.951595,2.230504,1.8022,2.00046,2.102253
25,82,35,1,1,1,2.320352,2.323012,1.939635,1.978688,2.238477,1.812538,2.013033,2.127884
25,83,36,1,1,1,2.331245,2.339378,1.943718,1.990224,2.237092,1.815881,2.015827,2.140416
25,85,38,1,1,1,2.346422,2.365787,1.94767,2.009277,2.223578,1.818916,2.014434,2.164911
25,87,41,1,1,1,2.352668,2.389592,1.943062,2.027804,2.176447,1.814338,1.994886,2.200233
25,88,42,1,1,1,2.350344,2.393311,1.938716,2.0313,2.153574,1.810377,1.983715,2.211629
26,68,23,1,1,1,1.977028,1.982296,1.761712,1.699751,2.019314,1.647622,1.637152,1.863124
26,69,24,1,1,1,2.014355,2.023955,1.782654,1.727368,2.060905,1.665572,1.667879,1.877928
26,70,25,1,1,1,2.049479,2.063506,1.802191,1.753646,2.098914,1.682305,1.696278,1.892542
26,71,26,1,1,1,2.082401,2.10095,1.820323,1.778583,2.133341,1.697821,1.72235,1.906967
26,83,38,1,2,1,2.290353,2.31978,1.903752,1.903445,2.191869,1.75652,1.863972,2.048332
26,87,42,1,8,1,2.294275,2.347304,1.894798,1.925469,2.121865,1.747981,1.833253,2.095051
27,68,22,1,1,1,1.937498,1.93853,1.739366,1.670794,1.974142,1.628454,1.604098,1.848132
27,69,23,1,1,1,1.977028,1.982296,1.761712,1.699751,2.019314,1.647622,1.637152,1.863124
27,70,24,1,1,1,2.014355,2.023955,1.782654,1.727368,2.060905,1.665572,1.667879,1.877928
27,71,25,1,1,1,2.049479,2.063506,1.802191,1.753646,2.098914,1.682305,1.696278,1.892542
29,69,20,0,3,1,1.678276,1.469492,1.523549,1.266593,1.405438,1.440654,1.156946,1.320004
29,70,21,0,3,1,1.722212,1.517474,1.548705,1.298231,1.457772,1.462256,1.194655,1.335376
29,71,22,0,1,1,1.763944,1.563348,1.572457,1.328529,1.506525,1.482641,1.230038,1.350558
29,72,23,0,3,1,1.803474,1.607115,1.594803,1.357486,1.551697,1.501808,1.263092,1.365551
30,70,19,0,6,1,1.688207,1.465409,1.540906,1.339447,1.381231,1.48023,1.26737,1.421022
30,71,20,0,6,1,1.734345,1.515499,1.567467,1.372425,1.437147,1.50305,1.307408,1.436583
30,72,21,0,6,1,1.778281,1.563481,1.592623,1.404063,1.489481,1.524652,1.345118,1.451954
30,73,22,0,3,1,1.820014,1.609355,1.616375,1.43436,1.538234,1.545037,1.3805,1.467137
30,77,26,0,4,1,1.964916,1.771775,1.697332,1.54215,1.697433,1.614404,1.498752,1.525973
30,82,31,0,6,1,2.09648,1.927375,1.766919,1.646734,1.815852,1.673724,1.594195,1.595257
30,83,32,0,6,1,2.116185,1.952172,1.776622,1.663631,1.828792,1.681936,1.6063,1.608546
33,68,22,0,6,1,1.820014,1.609355,1.616375,1.43436,1.538234,1.545037,1.3805,1.467137
35,82,29,0,7,1,2.050463,1.871458,1.743299,1.608921,1.779228,1.653648,1.563001,1.568111
36,70,18,0,3,1,1.59908,1.433291,1.493598,1.269155,1.36529,1.426342,1.064221,1.305659
36,71,19,0,3,1,1.647421,1.485488,1.521564,1.303473,1.424787,1.450379,1.106586,1.321409
36,72,20,0,3,1,1.693559,1.535578,1.548125,1.336451,1.480703,1.473198,1.146623,1.33697
36,73,21,0,3,1,1.737495,1.58356,1.573281,1.368088,1.533037,1.4948,1.184333,1.352342
36,75,23,0,3,1,1.818757,1.673201,1.619379,1.427343,1.626962,1.534353,1.25277,1.382517
36,77,25,0,6,1,1.891208,1.754411,1.659857,1.481238,1.706561,1.569036,1.311896,1.411935
36,78,26,0,6,1,1.92413,1.791854,1.677989,1.506176,1.740989,1.584552,1.337968,1.42636
36,88,37,0,4,1,2.140878,2.06462,1.784721,1.692039,1.883329,1.674886,1.471128,1.572538
37,68,19,0,6,1,1.688207,1.465409,1.540906,1.339447,1.381231,1.48023,1.26737,1.421022
37,69,20,0,6,1,1.734345,1.515499,1.567467,1.372425,1.437147,1.50305,1.307408,1.436583
37,70,22,0,6,1,1.820014,1.609355,1.616375,1.43436,1.538234,1.545037,1.3805,1.467137
38,68,23,0,6,1,1.859543,1.653122,1.638721,1.463318,1.583405,1.564204,1.413554,1.48213
38,69,24,0,6,1,1.840801,1.648773,1.615745,1.385104,1.593287,1.519759,1.293819,1.380355
38,70,25,0,6,1,1.875926,1.688325,1.635282,1.411381,1.631296,1.536492,1.322218,1.394969
