idcode,age,collgrad,occupation,white,elnwage1,elnwage2,elnwage3,elnwage4,elnwage5,elnwage6,elnwage7,elnwage8
417,34,0,7,1,2.059161,2.12841,1.790402,1.901831,2.04473,1.567564,1.41986,1.336703
419,36,0,3,1,2.108084,2.102532,1.81753,1.866952,1.850853,1.628481,1.44882,1.355592
422,36,0,7,1,2.108084,2.102532,1.81753,1.866952,1.850853,1.628481,1.44882,1.355592
423,42,0,2,1,2.104917,2.03769,1.809265,1.711208,1.739977,1.660545,1.46128,1.497658
425,34,0,6,1,2.059161,2.12841,1.790402,1.901831,2.04473,1.567564,1.41986,1.336703
426,40,0,7,1,2.130962,2.057172,1.826961,1.771641,1.698477,1.674971,1.46953,1.43607
429,43,0,3,1,2.082523,2.028748,1.794813,1.677797,1.790149,1.643914,1.452503,1.53379
431,36,1,1,1,2.359389,2.541176,2.002005,1.910241,2.315704,1.290537,1.62409,2.018028
432,37,0,6,1,2.123175,2.090393,1.825491,1.846318,1.783337,1.649521,1.458649,1.370374
433,43,0,4,1,2.082523,2.028748,1.794813,1.677797,1.790149,1.643914,1.452503,1.53379
434,34,0,7,1,2.059161,2.12841,1.790402,1.901831,2.04473,1.567564,1.41986,1.336703
436,37,0,3,1,2.123175,2.090393,1.825491,1.846318,1.783337,1.649521,1.458649,1.370374
440,37,0,3,1,2.123175,2.090393,1.825491,1.846318,1.783337,1.649521,1.458649,1.370374
441,42,0,7,1,2.104917,2.03769,1.809265,1.711208,1.739977,1.660545,1.46128,1.497658
443,37,0,4,1,2.123175,2.090393,1.825491,1.846318,1.783337,1.649521,1.458649,1.370374
447,39,0,2,1,2.134614,2.067713,1.830207,1.798663,1.707149,1.672766,1.469004,1.410613
448,38,1,2,1,2.383322,2.51743,2.014191,1.866844,2.200286,1.326339,1.640647,2.05115
449,45,0,3,1,2.018994,2.012464,1.754704,1.604588,1.949338,1.591816,1.425648,1.616729
450,39,0,1,1,2.134614,2.067713,1.830207,1.798663,1.707149,1.672766,1.469004,1.410613
451,40,0,7,1,2.130962,2.057172,1.826961,1.771641,1.698477,1.674971,1.46953,1.43607
455,39,0,7,1,2.20182,2.107998,1.816212,1.983352,1.69498,1.808774,1.652134,1.452007
456,36,0,6,1,2.17529,2.142817,1.803536,2.051641,1.838684,1.764489,1.63195,1.396986
457,38,0,1,1,2.132018,2.078786,1.829717,1.823555,1.735436,1.664283,1.465376,1.388714
459,38,0,7,1,2.132018,2.078786,1.829717,1.823555,1.735436,1.664283,1.465376,1.388714
460,42,0,3,1,2.104917,2.03769,1.809265,1.711208,1.739977,1.660545,1.46128,1.497658
467,41,0,3,1,2.121063,2.047165,1.819981,1.742489,1.70942,1.670897,1.466955,1.465085
469,35,0,3,1,2.086746,2.115205,1.805834,1.885456,1.937984,1.601162,1.43589,1.344369
474,35,0,3,1,2.086746,2.115205,1.805834,1.885456,1.937984,1.601162,1.43589,1.344369
477,42,0,3,1,2.104917,2.03769,1.809265,1.711208,1.739977,1.660545,1.46128,1.497658
478,38,0,3,1,2.132018,2.078786,1.829717,1.823555,1.735436,1.664283,1.465376,1.388714
481,37,0,3,1,2.123175,2.090393,1.825491,1.846318,1.783337,1.649521,1.458649,1.370374
483,42,0,3,1,2.104917,2.03769,1.809265,1.711208,1.739977,1.660545,1.46128,1.497658
485,35,1,2,1,2.338051,2.553848,1.990308,1.928745,2.402835,1.263218,1.611161,2.006804
486,38,1,8,0,2.3566,2.489814,2.02713,1.736858,2.239436,1.200215,1.438201,2.168253
487,36,0,7,0,2.081362,2.074916,1.830469,1.736966,1.890003,1.502357,1.246374,1.472696
488,43,1,4,1,2.401034,2.507677,1.965293,1.905776,2.242831,1.441977,1.810904,2.23762
492,39,0,4,1,2.134614,2.067713,1.830207,1.798663,1.707149,1.672766,1.469004,1.410613
495,38,1,8,1,2.383322,2.51743,2.014191,1.866844,2.200286,1.326339,1.640647,2.05115
496,40,0,1,1,2.130962,2.057172,1.826961,1.771641,1.698477,1.674971,1.46953,1.43607
499,38,0,6,1,2.199224,2.119072,1.815722,2.008245,1.723267,1.800291,1.648507,1.430109
504,43,1,8,1,2.333828,2.467392,1.979288,1.721086,2.255,1.305969,1.627774,2.196226
505,36,0,3,1,2.108084,2.102532,1.81753,1.866952,1.850853,1.628481,1.44882,1.355592
507,39,0,3,1,2.134614,2.067713,1.830207,1.798663,1.707149,1.672766,1.469004,1.410613
510,35,0,3,1,2.086746,2.115205,1.805834,1.885456,1.937984,1.601162,1.43589,1.344369
516,35,0,7,1,2.086746,2.115205,1.805834,1.885456,1.937984,1.601162,1.43589,1.344369
518,43,0,2,1,2.082523,2.028748,1.794813,1.677797,1.790149,1.643914,1.452503,1.53379
519,36,0,3,1,2.17529,2.142817,1.803536,2.051641,1.838684,1.764489,1.63195,1.396986
521,39,0,6,1,2.134614,2.067713,1.830207,1.798663,1.707149,1.672766,1.469004,1.410613
522,41,0,2,1,2.188269,2.08745,1.805987,1.927178,1.697251,1.806905,1.650085,1.506479
524,38,0,3,1,2.199224,2.119072,1.815722,2.008245,1.723267,1.800291,1.648507,1.430109
526,38,0,3,1,2.199224,2.119072,1.815722,2.008245,1.723267,1.800291,1.648507,1.430109
531,40,1,4,1,2.382267,2.495816,2.011436,1.814929,2.163328,1.337027,1.6448,2.098505
533,35,1,3,1,2.338051,2.553848,1.990308,1.928745,2.402835,1.263218,1.611161,2.006804
538,45,0,4,1,2.018994,2.012464,1.754704,1.604588,1.949338,1.591816,1.425648,1.616729
540,42,0,7,1,2.104917,2.03769,1.809265,1.711208,1.739977,1.660545,1.46128,1.497658
541,38,0,4,1,2.132018,2.078786,1.829717,1.823555,1.735436,1.664283,1.465376,1.388714
543,41,0,3,1,2.121063,2.047165,1.819981,1.742489,1.70942,1.670897,1.466955,1.465085
548,38,0,3,1,2.199224,2.119072,1.815722,2.008245,1.723267,1.800291,1.648507,1.430109
549,43,0,3,1,2.082523,2.028748,1.794813,1.677797,1.790149,1.643914,1.452503,1.53379
551,36,1,1,1,2.359389,2.541176,2.002005,1.910241,2.315704,1.290537,1.62409,2.018028
555,36,0,2,1,2.108084,2.102532,1.81753,1.866952,1.850853,1.628481,1.44882,1.355592
558,42,0,1,0,2.145401,2.050359,1.80821,1.765911,1.766958,1.670428,1.441964,1.656156
562,44,0,3,0,2.094366,2.033009,1.775571,1.69696,1.886917,1.630887,1.42131,1.731978
570,36,1,1,0,2.399873,2.553845,2.00095,1.964944,2.342685,1.30042,1.604774,2.176526
572,35,0,1,1,2.153953,2.15549,1.79184,2.070146,1.925815,1.73717,1.61902,1.385763
576,36,0,7,1,2.17529,2.142817,1.803536,2.051641,1.838684,1.764489,1.63195,1.396986
584,42,0,3,1,2.172123,2.077975,1.79527,1.895897,1.727808,1.796552,1.64441,1.539053
585,43,0,3,1,2.082523,2.028748,1.794813,1.677797,1.790149,1.643914,1.452503,1.53379
588,45,1,8,1,2.270298,2.451107,1.939178,1.647877,2.414189,1.253871,1.600919,2.279164
595,40,0,3,1,2.130962,2.057172,1.826961,1.771641,1.698477,1.674971,1.46953,1.43607
604,43,0,3,1,2.082523,2.028748,1.794813,1.677797,1.790149,1.643914,1.452503,1.53379
606,42,1,4,1,2.423427,2.516619,1.979745,1.939186,2.192659,1.458608,1.81968,2.201488
608,45,1,4,1,2.337504,2.491393,1.925184,1.832566,2.40202,1.389879,1.784049,2.320558
609,38,0,3,1,2.132018,2.078786,1.829717,1.823555,1.735436,1.664283,1.465376,1.388714
614,42,0,3,1,2.104917,2.03769,1.809265,1.711208,1.739977,1.660545,1.46128,1.497658
617,42,1,8,1,2.356221,2.476334,1.993739,1.754497,2.204828,1.3226,1.63655,2.160094
618,40,1,2,1,2.382267,2.495816,2.011436,1.814929,2.163328,1.337027,1.6448,2.098505
624,45,0,4,1,2.018994,2.012464,1.754704,1.604588,1.949338,1.591816,1.425648,1.616729
635,40,0,7,1,2.198168,2.097458,1.812967,1.95633,1.686308,1.810979,1.65266,1.477464
636,42,0,3,0,2.078195,2.010074,1.822204,1.581222,1.779126,1.53442,1.258834,1.614762
641,42,1,8,1,2.423427,2.516619,1.979745,1.939186,2.192659,1.458608,1.81968,2.201488
643,40,0,4,1,2.198168,2.097458,1.812967,1.95633,1.686308,1.810979,1.65266,1.477464
644,34,1,1,1,2.310466,2.567054,1.974877,1.94512,2.509581,1.22962,1.59513,1.999139
646,42,1,3,1,2.356221,2.476334,1.993739,1.754497,2.204828,1.3226,1.63655,2.160094
654,44,0,2,1,2.053882,2.020339,1.776626,1.642257,1.859936,1.621004,1.440626,1.57348
655,45,0,3,1,2.018994,2.012464,1.754704,1.604588,1.949338,1.591816,1.425648,1.616729
656,42,0,3,1,2.104917,2.03769,1.809265,1.711208,1.739977,1.660545,1.46128,1.497658
659,38,1,1,1,2.383322,2.51743,2.014191,1.866844,2.200286,1.326339,1.640647,2.05115
661,44,1,2,1,2.305187,2.458983,1.961101,1.685546,2.324787,1.28306,1.615897,2.235916
664,42,0,3,1,2.104917,2.03769,1.809265,1.711208,1.739977,1.660545,1.46128,1.497658
665,40,0,1,1,2.130962,2.057172,1.826961,1.771641,1.698477,1.674971,1.46953,1.43607
670,44,1,4,1,2.305187,2.458983,1.961101,1.685546,2.324787,1.28306,1.615897,2.235916
671,45,0,3,1,2.018994,2.012464,1.754704,1.604588,1.949338,1.591816,1.425648,1.616729
681,41,0,3,0,2.094341,2.019548,1.83292,1.612503,1.748569,1.544773,1.264509,1.582189
683,45,1,2,1,2.270298,2.451107,1.939178,1.647877,2.414189,1.253871,1.600919,2.279164
684,37,0,2,1,2.190381,2.130678,1.811497,2.031008,1.771168,1.785529,1.641779,1.411768
688,38,0,7,1,2.132018,2.078786,1.829717,1.823555,1.735436,1.664283,1.465376,1.388714
689,36,1,8,1,2.359389,2.541176,2.002005,1.910241,2.315704,1.290537,1.62409,2.018028
690,39,0,1,1,2.134614,2.067713,1.830207,1.798663,1.707149,1.672766,1.469004,1.410613
691,45,0,3,1,2.018994,2.012464,1.754704,1.604588,1.949338,1.591816,1.425648,1.616729
