Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Odo1,Odo2,Odo3,Odo4,Odo5,Odo6,Odo7,Odo8,Odo9,Odo10,Odo11,Odo12,Odo13,Odo14,Odo15,Odo16,Odo17,Odo18,Odo19,Odo20,RouteUsage,Branded,Xst1,Xst2,Xst3,Xst4,Xst5,Xst6,Xst7,Xst8,Xst9,Xst10,Xst11,Xst12,Xst13,Xst14,Xst15,Xst16,Xst17,Xst18,Xst19,Xst20,Zst
1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1.375,13.5,0,1.125,2.875,8.5,8.75,0,0.625,0.625,0.625,2.125,0,0.5,3.375,0,0,0,1.125,0.43,0,1,12,109,1,10,24,69,71,1,6,6,6,18,1,5,28,1,1,1,10,19
0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1.875,0,1.625,4,4.125,6.5,7.125,7.125,0,0.5,1.5,1.875,2.25,2.25,4.25,4.5,5.125,6.125,0,0.375,0.98,1,16,1,14,33,34,53,58,58,1,5,13,16,19,19,35,37,42,50,1,4,74
1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1.875,3.375,3.875,8.875,9.5,9.5,0,1.875,0,0.25,0.75,1.375,1.375,0,0,1.875,2.75,2.875,4,7,0.62,1,16,28,32,72,77,77,1,16,1,3,7,12,12,1,1,16,23,24,33,57,38
1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0.25,1.375,3.875,4.125,4.875,0,0.125,0.125,2.125,2.375,0,0,1.625,3.875,4,6.375,6.625,6.75,7.75,0,1.09,1,3,12,32,34,40,1,2,2,18,20,1,1,14,32,33,52,54,55,63,1,85
1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.125,0.75,1.875,2,5.25,0,1.25,1.625,3,4.375,4.875,7.5,8.125,0,0.25,0.25,1.375,1.875,2.125,2.5,0.99,1,2,7,16,17,43,1,11,14,25,36,40,61,66,1,3,3,12,16,18,21,75
1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1.875,3.75,6.125,6.875,12.625,0,0.875,1.25,1.375,0,1,2,0,0.75,3.25,4.25,4.5,0,0,0,0.82,0,16,31,50,56,102,1,8,11,12,1,9,17,1,7,27,35,37,1,1,1,58
1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,6,7.75,8,9.75,9.875,10.125,0,0,0.125,0,0.875,3.875,0,0.25,0,2,2.25,5.25,0,0,0.42,1,49,63,65,79,80,82,1,1,2,1,8,32,1,3,1,17,19,43,1,1,18
1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.25,4.25,4.375,4.375,4.5,5.25,0,2.375,2.625,2.875,3.125,0,0.25,0.375,2.625,4,4.125,4.25,0,0.625,1.21,1,3,35,36,36,37,43,1,20,22,24,26,1,3,4,22,33,34,35,1,6,97
1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1.625,3.625,4.875,0,0.625,0.75,2.5,3.75,7.375,0,4.375,4.375,4.5,9.875,0,0.75,0.75,0.75,2.75,3,0.51,1,14,30,40,1,6,7,21,31,60,1,36,36,37,80,1,7,7,7,23,25,27
0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,4.875,0,2,3.125,0,1.25,1.75,2.75,3.625,4.625,5.375,0,0,1.25,2.875,0,0,0.25,0.5,2.75,1.18,1,40,1,17,26,1,11,15,23,30,38,44,1,1,11,24,1,1,3,5,23,94
0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,11.625,0,1.875,3.125,11,0,0.75,4,9.875,0,1.125,10.5,12.75,0,1.5,3.75,4.25,4.875,7.375,0,0.47,1,94,1,16,26,89,1,7,33,80,1,10,85,103,1,13,31,35,40,60,1,23
0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,8.875,0,0.375,2.125,0,0.5,1.5,1.625,2.125,9.5,14.625,0,2.375,3,3.5,3.875,5.5,5.75,6.625,7.375,0.62,0,72,1,4,18,1,5,13,14,18,77,118,1,20,25,29,32,45,47,54,60,38
1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,2.125,2.125,3.875,6.625,8.5,0,2.375,0,0,0,1,1.125,1.75,6.875,12.25,0,0,0.75,10.125,0,0.33,1,18,18,32,54,69,1,20,1,1,1,9,10,15,56,99,1,1,7,82,1,9
0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,6.125,0,0.125,0,0.625,3.5,0,3,4.375,6,8.5,9.375,9.875,10,0,2.125,2.375,0,0.5,1,0.89,1,50,1,2,1,6,29,1,25,36,49,69,76,80,81,1,18,20,1,5,9,65
0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,2.375,0,2,9.25,9.5,10.375,10.75,13.75,14.5,22.875,0,7.125,0,0.5,3.75,12.625,0,2.5,5.75,6.375,0.43,1,20,1,17,75,77,84,87,111,117,184,1,58,1,5,31,102,1,21,47,52,19
1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,2.625,11.75,0,1.75,3.25,6.125,7.75,14.75,16.5,0,8.75,0,10.25,12.375,0,5.875,6,6.875,10.25,0,0.29,1,22,95,1,15,27,50,63,119,133,1,71,1,83,100,1,48,49,56,83,1,5
1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0.375,1.25,2.625,4.25,4.875,6.25,7.875,7.875,8.25,0,0.875,0.875,2.125,5.375,6.25,0,0.75,0.875,3.125,3.25,0.98,1,4,11,22,35,40,51,64,64,67,1,8,8,18,44,51,1,7,8,26,27,74
1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,4.375,4.625,0,10.375,13,0,1.125,1.75,0,1.5,0,0.625,1.25,6.375,7.375,0,3.75,5,0,1.5,0.6,0,36,38,1,84,105,1,10,15,1,13,1,6,11,52,60,1,31,41,1,13,36
0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3.125,0,1.75,2.75,4,0,0.25,0.375,1.125,1.25,1.625,2.25,0,2.125,2.125,2.5,3.375,3.375,3.625,6.625,0.91,1,26,1,15,23,33,1,3,4,10,11,14,19,1,18,18,21,28,28,30,54,67
1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0.375,0.5,0.75,1.125,1.125,4.5,6.875,7.75,9.75,0,0.625,0,0,0.5,0.5,0.625,3.875,4.25,5.5,6.25,0.63,0,4,5,7,10,10,37,56,63,79,1,6,1,1,5,5,6,32,35,45,51,39
1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1.5,1.5,1.75,4,4.125,5.875,8.125,8.375,0,0.625,1.75,0,0,2,2.625,5.5,0,0,6.5,0,0.88,1,13,13,15,33,34,48,66,68,1,6,15,1,1,17,22,45,1,1,53,1,64
1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,2,6.625,0,0.125,3.875,0,0.125,0.625,4.5,5.875,0,9.75,0,1.125,12.125,0,4.625,0,5.5,8,0.27,0,17,54,1,2,32,1,2,6,37,48,1,79,1,10,98,1,38,1,45,65,3
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1.375,0,1.125,1.25,1.625,4.375,4.75,6.125,6.75,7.25,0,0,0.125,0.625,1.875,3.375,0,0,0,0,1.16,0,12,1,10,11,14,36,39,50,55,59,1,1,2,6,16,28,1,1,1,1,92
1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0.5,1.875,0,2.5,0,0.25,0.25,0.75,1.25,0,0.25,0.25,0.625,0,0.875,1.125,1.375,0,0.75,1,1.05,0,5,16,1,21,1,3,3,7,11,1,3,3,6,1,8,10,12,1,7,9,81
1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0.375,0.875,1.375,3.375,0,3.625,6.75,0,0,0.25,0.375,1.625,0,1.875,3.25,4.75,5.375,0,0.125,1,0,1,4,8,12,28,1,30,55,1,1,3,4,14,1,16,27,39,44,1,2,76
1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1.625,3.125,4.5,0,0.125,0.375,0,1.25,1.25,1.625,1.75,2,4,0,0.125,0.625,0.75,1.25,0,1.07,1,1,14,26,37,1,2,4,1,11,11,14,15,17,33,1,2,6,7,11,1,83
1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,5.625,8.75,0,0.375,3.5,5.875,0,0.625,3.25,5.25,0,0.25,1.375,2.875,3,4.125,0,0.5,0.5,1.375,0.63,1,46,71,1,4,29,48,1,6,27,43,1,3,12,24,25,34,1,5,5,12,39
1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,2.25,3.375,0,0,0.375,0.375,1.125,0,0.25,2,2.25,2.75,3,4.375,4.75,0,3.125,0,2.875,0,0.87,0,19,28,1,1,4,4,10,1,3,17,19,23,25,36,39,1,26,1,24,1,63
1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,4,6.625,6.875,7.875,0,0,5.25,8.125,0,0.25,0.5,1.125,2,0,1.75,1.875,2.375,5.75,6.5,0,0.83,1,33,54,56,64,1,1,43,66,1,3,5,10,17,1,15,16,20,47,53,1,59
0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1.625,0,0.375,1,2.25,2.625,0,0,0,3.125,3.625,0,4.5,5.5,0,5.375,5.5,0,3.875,5.125,0.78,0,14,1,4,9,19,22,1,1,1,26,30,1,37,45,1,44,45,1,32,42,54
1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,6,6,7.25,0,1.5,2,4.75,7,7.75,12.125,0,3.5,3.5,0,1.5,4.875,0,1.875,2.125,2.625,0.52,1,49,49,59,1,13,17,39,57,63,98,1,29,29,1,13,40,1,16,18,22,28
0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,3.5,4.375,9.5,10.625,0,0.75,1.375,3.125,6.25,6.5,0,1.125,3.875,0,0,2.25,2.375,2.375,0.5,0,1,1,29,36,77,86,1,7,12,26,51,53,1,10,32,1,1,19,20,20,26
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1.875,4.125,4.875,6.125,7.375,7.75,7.75,9.5,0,1.625,1.875,6.25,6.5,9.75,10.25,12.5,0,1.375,1.625,2.125,0.7,1,16,34,40,50,60,63,63,77,1,14,16,51,53,79,83,101,1,12,14,18,46
1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,10.5,11.125,11.875,0,1.125,1.25,1.25,2.125,3.375,7.125,0,2.375,3,3.75,4.375,5.25,8,0,1.125,2,0.47,1,85,90,96,1,10,11,11,18,28,58,1,20,25,31,36,43,65,1,10,17,23
1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,2.375,2.875,4,0,0,1.625,1.75,0,0.375,0,0.25,0,0,1.125,0,0.5,0.5,0.625,0.625,2.125,1.06,0,20,24,33,1,1,14,15,1,4,1,3,1,1,10,1,5,5,6,6,18,82
1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,2.25,2.75,3.375,0,1.75,2.125,2.125,2.25,2.875,2.875,5.125,0,0.125,2.5,3.5,3.5,3.75,3.75,4.25,1.24,1,1,19,23,28,1,15,18,18,19,24,24,42,1,2,21,29,29,31,31,35,100
1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,6.25,7.75,8.25,0,2.125,2.375,16.75,0,7.25,0,4.875,6.75,7.625,8.25,0,0.5,4.75,5.625,6.25,0,0.28,1,51,63,67,1,18,20,135,1,59,1,40,55,62,67,1,5,39,46,51,1,4
1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,5.625,5.625,7.375,0,0.625,2.5,5,5.75,0,0,0.25,1.5,1.625,1.75,1.875,0,0.875,3.375,8.5,9.75,0.79,1,46,46,60,1,6,21,41,47,1,1,3,13,14,15,16,1,8,28,69,79,55
1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,9.625,14,0,0.625,3.25,0,2.375,4.625,0,0.125,3,4.625,5.75,8,8,10.375,0,0.625,3.5,0,0.33,1,78,113,1,6,27,1,20,38,1,2,25,38,47,65,65,84,1,6,29,1,9
1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2.125,2.25,3.5,0,0,2.625,3.5,0,0.25,0.5,0.5,1.375,1.75,3,3.125,3.75,4.375,4.5,4.875,5,1.06,1,18,19,29,1,1,22,29,1,3,5,5,12,15,25,26,31,36,37,40,41,82
1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1.5,3.375,3.5,4.75,4.75,0,0.375,3.5,0,1,2.25,0,0,0.125,0.375,3.25,3.625,0,1.5,1.875,1.24,0,13,28,29,39,39,1,4,29,1,9,19,1,1,2,4,27,30,1,13,16,100
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,6.875,9.125,0,0,1,8.75,9.25,0,8.25,9.375,9.375,0,0,4.25,4.625,0,1,4.5,11,0,0.31,1,56,74,1,1,9,71,75,1,67,76,76,1,1,35,38,1,9,37,89,1,7
1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,2,2,2.5,3.625,5.375,6.5,7.25,7.25,7.5,0,0.375,0.625,1.5,0,0.125,0.875,0.875,2.375,3,1.19,1,9,17,17,21,30,44,53,59,59,61,1,4,6,13,1,2,8,8,20,25,95
1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1.125,10.5,0,8.375,0,4.625,9.5,0,2.375,0,3.125,10,11.75,18.125,0,0.75,0.875,12.75,0,0.625,0.26,0,10,85,1,68,1,38,77,1,20,1,26,81,95,146,1,7,8,103,1,6,2
1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,2.75,2.75,4.5,0,0.625,0.875,1.375,1.875,2,2.125,4.25,6.25,0,0.125,0.5,0.875,2.625,3.5,4.25,0.94,0,1,23,23,37,1,6,8,12,16,17,18,35,51,1,2,5,8,22,29,35,70
0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0.25,2.125,2.375,0,0.5,0.75,4.25,5,0,2,3.125,3.125,3.125,3.75,7.5,0,0.625,1.25,1.04,1,1,1,3,18,20,1,5,7,35,41,1,17,26,26,26,31,61,1,6,11,80
0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1.625,0,1.5,5.25,0,0,0.25,1.625,3.125,3.125,0,1,2.75,4.375,9,0,0,0.125,1.875,3.75,0.78,1,14,1,13,43,1,1,3,14,26,26,1,9,23,36,73,1,1,2,16,31,54
1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0.75,0,0.25,0.25,0.375,3.375,4.25,6.375,0,0.375,1.5,1.625,2.375,2.5,4.5,4.875,0,0.125,0.5,1.14,0,1,7,1,3,3,4,28,35,52,1,4,13,14,20,21,37,40,1,2,5,90
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,4.375,4.625,5.625,5.625,6.5,0,0,0.625,1.375,1.75,2.5,2.5,2.5,2.75,3.125,3.125,4.875,0,0,0,1.15,1,36,38,46,46,53,1,1,6,12,15,21,21,21,23,26,26,40,1,1,1,91
1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0.5,2.375,2.5,3.875,3.875,4.25,4.875,0,0.25,0.5,0.5,0.875,0,1,2.875,3.5,6,6.625,7.875,0.88,0,1,5,20,21,32,32,35,40,1,3,5,5,8,1,9,24,29,49,54,64,64
1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0.125,1,6.75,7,10.875,14,0,1.625,2.75,4.875,0,2.25,6.875,0,2,3.625,3.875,4.5,9.25,0,0.38,1,2,9,55,57,88,113,1,14,23,40,1,19,56,1,17,30,32,37,75,1,14
1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,6,7.25,0,2.5,6.5,0,1.875,3.25,0,2.125,2.5,0,1.375,2.125,2.375,2.5,11.25,0,0,0,0.46,0,49,59,1,21,53,1,16,27,1,18,21,1,12,18,20,21,91,1,1,1,22
1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,9.125,9.875,11.25,11.25,0,1.375,3.375,10.625,0,0.75,2.125,3,3.5,3.5,5.75,6,6.875,0,0.25,0.625,0.43,1,74,80,91,91,1,12,28,86,1,7,18,25,29,29,47,49,56,1,3,6,19
1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,3.125,9.125,0,5.5,0,1.625,2.625,20.875,0,2.125,0,0.875,3.625,5.75,0,0.75,2.375,7.5,9.625,0,0.29,1,26,74,1,45,1,14,22,168,1,18,1,8,30,47,1,7,20,61,78,1,5
1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,5.25,5.375,5.625,0,4.75,7.25,7.625,8.375,11.875,0,0.875,1.625,5.625,8.75,0,0.75,0,4.875,0,0,0.35,1,43,44,46,1,39,59,62,68,96,1,8,14,46,71,1,7,1,40,1,1,11
1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,2.875,3.375,3.5,6.25,0,1,2.25,3.875,4.375,6.625,0,0.125,1.5,0,0.75,1,1.75,0,0.875,1,0.87,1,24,28,29,51,1,9,19,32,36,54,1,2,13,1,7,9,15,1,8,9,63
0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0.25,0,1.5,1.75,3.5,3.625,3.75,5.875,7,0,1.125,1.125,2.125,3.75,0,0.5,0.875,1.625,1.875,2.375,1.19,1,3,1,13,15,29,30,31,48,57,1,10,10,18,31,1,5,8,14,16,20,95
1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1.75,6.75,7.625,0,0,0.375,0.625,1.625,2.375,3.75,6,0,1.25,1.25,7,0,1.25,1.25,0.6,0,1,9,15,55,62,1,1,4,6,14,20,31,49,1,11,11,57,1,11,11,36
1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0.125,0.375,3,3.625,6.125,8.5,8.5,0,0.125,1.25,5.25,6.375,0,1.625,2.125,4,4.375,0,0,1,0.66,0,2,4,25,30,50,69,69,1,2,11,43,52,1,14,18,33,36,1,1,9,42
1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1.375,0,1.25,2.625,0,2.5,0,0.125,1.5,2.5,0,0.125,0.875,1,2.5,2.625,0,0.5,2,1.24,0,1,12,1,11,22,1,21,1,2,13,21,1,2,8,9,21,22,1,5,17,100
1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,2.875,5.125,8.125,8.125,0,1.125,1.5,2.125,0,0,0.25,0.375,2.5,2.5,3.375,0,0,0.25,0.5,0.5,1.2,1,24,42,66,66,1,10,13,18,1,1,3,4,21,21,28,1,1,3,5,5,96
1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,4,6.125,6.125,0,0.25,0.75,1.625,2.75,2.875,0,1.625,0,0,0,0,4,0,0,0.375,0,0.93,0,33,50,50,1,3,7,14,23,24,1,14,1,1,1,1,33,1,1,4,1,69
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,7.25,0,1,1.25,1.25,1.625,1.625,1.625,2.875,3,3.125,3.125,4.25,4.25,5,5.25,7.875,7.875,0,0.375,1.24,1,59,1,9,11,11,14,14,14,24,25,26,26,35,35,41,43,64,64,1,4,100
0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,4.375,0,0,1.5,1.5,1.875,0,0.125,0.875,1.125,2.5,5.125,0,1.5,1.625,1.625,2.375,3.125,3.625,3.625,1.02,0,36,1,1,13,13,16,1,2,8,10,21,42,1,13,14,14,20,26,30,30,78
1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,6.125,6.375,0,3.625,8.125,8.75,0,2.75,2.75,4.5,6.875,0,0,0.125,6.25,0,0.5,1.625,1.75,3.375,0.59,1,50,52,1,30,66,71,1,23,23,37,56,1,1,2,51,1,5,14,15,28,35
0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0.75,0,0,0,1.375,0,4.5,5.25,0,3.375,3.75,0,0.625,0.625,0,0.375,2.75,0,0.375,0.75,0.91,0,7,1,1,1,12,1,37,43,1,28,31,1,6,6,1,4,23,1,4,7,67
0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,2.875,0,3,5.125,0,0,0.875,4.875,5.25,8.625,10.125,12.125,13.625,0,3.875,4.375,0,0.125,0,0,0.49,0,24,1,25,42,1,1,8,40,43,70,82,98,110,1,32,36,1,2,1,1,25
1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0.375,0.75,1.875,4.125,4.375,5.25,5.375,5.625,0,0,0,1,1.75,1.75,0,0,1.125,0,3.25,0,0.54,0,4,7,16,34,36,43,44,46,1,1,1,9,15,15,1,1,10,1,27,1,30
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0.5,0.875,1.25,1.75,3,3.75,4.875,0,0.625,1,1.625,5,7.875,7.875,8,8,0,0.125,1.125,1.375,0.93,1,5,8,11,15,25,31,40,1,6,9,14,41,64,64,65,65,1,2,10,12,69
0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,7,0,0.25,0.5,2,4.125,6.25,6.5,7,7.625,0,0.375,0,1.5,0,0.875,3.25,5.375,0,0.625,0.78,1,57,1,3,5,17,34,51,53,57,62,1,4,1,13,1,8,27,44,1,6,54
1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1.375,1.625,3.75,4.375,4.75,0,0.25,0.875,2.125,0,3.25,0,0.875,0,1.25,0,0,8.125,8.25,0.66,0,1,12,14,31,36,39,1,3,8,18,1,27,1,8,1,11,1,1,66,67,42
1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,3.375,4,0,0.125,1,1,3.5,4.5,5.5,6,6.125,0,0,0,0.375,2,3.375,3.625,6.125,7,0.85,1,28,33,1,2,9,9,29,37,45,49,50,1,1,1,4,17,28,30,50,57,61
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0.625,1,1.75,2.25,2.625,2.875,3.5,5.25,5.375,5.875,6.5,0,0.25,0.25,0.375,1,0,0.5,0,0.75,1,1,6,9,15,19,22,24,29,43,44,48,53,1,3,3,4,9,1,5,1,7,76
1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,7.25,10.5,10.5,0,0,0,1.5,1.5,2.875,2.875,4,4.375,5.25,0,0.375,1.25,2.125,7.5,7.5,8.25,0.83,1,59,85,85,1,1,1,13,13,24,24,33,36,43,1,4,11,18,61,61,67,59
0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,4.875,0,0,2.75,4.125,4.125,4.875,0,0.375,0,0.625,1.625,2,4,0,0.375,0.875,2.125,3.375,4.25,0.8,1,40,1,1,23,34,34,40,1,4,1,6,14,17,33,1,4,8,18,28,35,56
1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,4,6.25,7,7.5,0,0.75,1.625,5.375,8.375,0,1.25,2.375,3.625,0,1.75,5.375,6,6.25,0,0.83,0,1,33,51,57,61,1,7,14,44,68,1,11,20,30,1,15,44,49,51,1,59
