idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,ttl_exp,tenure
325,34,1,0,1,12,0,1,1,0,5,8,1,4.613526,60,16.11539,3.25
327,38,1,0,0,9,0,0,1,1,8,8,0,4.025765,30,3.852564,
329,42,2,0,1,14,0,0,1,1,11,1,1,12.18196,40,19.07692,2.5
330,43,2,0,0,16,1,1,0,0,11,3,1,4.750401,40,16.11539,.6666667
331,37,2,0,0,15,0,0,1,1,4,6,1,8.05153,40,13.39744,12.41667
332,36,2,0,1,9,0,0,1,1,4,6,0,7.447664,40,10.90385,4.75
333,35,2,1,0,16,1,0,1,1,11,1,1,8.518515,40,13.76923,11.5
338,41,1,1,0,14,0,0,0,0,11,3,0,7.246377,18,9.019231,1.333333
341,41,2,1,0,14,0,0,1,0,6,3,0,11.97262,40,17.60256,6.166667
345,45,1,1,0,12,0,0,1,0,11,3,0,8.80837,32,10.19872,5.083333
347,36,1,1,0,14,0,0,1,0,7,3,0,11.07085,40,17.09615,17
350,39,2,1,0,14,0,0,1,0,11,1,0,9.677936,40,16.51923,2.416667
352,35,1,1,0,13,0,0,1,1,7,3,0,3.542671,20,14.36539,14.16667
354,36,1,0,0,12,0,0,0,0,6,8,0,4.420288,35,7.128205,2.5
356,43,1,1,0,16,1,0,1,0,8,2,0,7.318838,40,10.40385,9.75
358,45,1,1,0,12,0,0,1,0,7,2,0,8.05153,40,24.47436,17.41667
359,44,1,1,0,14,0,0,1,0,11,1,0,10.83736,40,15.05769,6
360,37,1,1,0,12,0,0,1,1,4,3,,38.70926,40,15.24359,10.75
363,41,1,0,0,12,0,0,1,0,4,2,0,9.895326,36,11.60256,9.25
367,37,1,1,0,13,0,0,0,0,11,3,1,10.35426,35,8.083333,8.083333
376,41,1,0,0,12,0,0,1,0,4,3,0,11.50563,42,17.50641,17.5
377,38,1,1,0,16,1,1,1,1,7,4,0,23.82447,65,13.5641,3.833333
379,43,1,0,1,13,0,0,1,0,6,3,0,7.552333,40,21.73718,20.16667
382,42,1,0,0,12,0,0,1,0,12,2,1,7.962963,35,21.32693,1.583333
384,41,1,1,0,13,0,0,1,0,11,13,0,4.830918,25,7.134616,
389,40,1,1,0,14,0,0,1,0,11,3,0,5.466986,15,1.75,.0833333
392,43,1,1,0,8,0,0,1,0,4,6,1,8.05153,40,8.865385,2.75
395,36,1,0,1,16,1,0,0,0,4,4,0,6.545891,40,16.36539,13.75
396,37,1,1,0,14,0,0,1,0,11,8,0,3.260869,32,13.71154,1.916667
397,37,1,1,0,13,0,0,1,0,4,3,0,4.830918,20,12.94231,.75
398,35,1,1,0,16,1,0,1,0,6,2,0,8.413847,40,11.40385,6.416667
399,37,1,1,0,16,1,0,1,0,4,2,0,16.52979,40,16.76923,0
402,36,1,1,0,12,0,0,1,0,4,6,1,6.175522,40,13.58974,9.25
403,40,1,0,1,12,0,0,1,0,12,3,0,5.732688,40,10.5,10.5
406,36,1,1,0,12,0,0,1,0,4,3,0,6.280193,40,13.19872,.5
407,37,1,1,0,18,1,0,0,0,11,1,,1.032247,15,9.307693,4.583333
409,36,1,1,0,14,0,0,1,1,11,3,,5.958131,26,12.00641,1.666667
410,43,1,0,0,14,0,0,0,0,11,1,0,10.18518,42,11.9359,2.5
414,36,1,1,0,16,1,0,1,0,7,3,0,5.515297,39,15.10897,5.5
415,35,1,0,1,15,0,0,1,0,11,1,0,5.789049,50,9.269231,3.333333
417,34,1,1,0,12,0,0,1,0,9,8,0,3.344482,20,7.839744,.1666667
419,36,1,1,0,12,0,0,1,0,4,3,0,6.280193,40,8.5,2.333333
422,36,1,0,1,11,0,0,1,0,9,7,0,1.723027,35,12.58974,7.166667
423,42,1,0,0,12,0,1,0,0,9,2,0,3.486621,30,12.45513,5.166667
425,34,1,0,0,12,0,0,0,0,4,6,,3.637123,40,8.807693,1
426,40,1,1,0,12,0,0,1,0,6,8,0,2.681159,30,1.128205,.4166667
429,43,1,1,0,13,0,1,1,0,11,3,0,7.745568,40,5.852564,3.083333
431,36,1,0,1,16,1,0,0,0,12,1,1,11.40902,38,15.97436,8.333333
432,37,1,1,0,12,0,0,1,0,4,6,0,7.037035,55,9.217949,6.75
433,43,1,1,0,13,0,0,1,0,7,4,0,6.658612,40,13.27564,1.833333
434,34,1,0,1,12,0,0,1,0,9,8,,3.051839,30,6.916667,1.166667
436,37,1,1,0,12,0,0,1,0,12,3,0,7.850241,40,18.25,18.25
440,37,1,1,0,11,0,0,1,0,7,3,0,8.148145,38,13.28846,2.833333
441,42,1,1,0,9,0,0,1,0,9,8,0,7.246377,16,1.923077,.0833333
443,37,1,1,0,13,0,0,1,0,6,4,0,5.636071,20,10.91667,1.75
447,39,1,1,0,12,0,0,1,0,11,2,0,11.04669,37,14.1859,4
448,38,1,0,0,16,1,0,0,0,6,2,0,11.6264,45,9.211538,4.166667
449,45,1,1,0,14,0,0,1,0,11,3,0,8.623189,42,8.807693,6.916667
450,39,1,1,0,14,0,0,0,0,11,1,0,11.25418,20,17.67308,10.75
451,40,1,0,0,10,0,0,1,0,6,8,0,5.241545,43,5.775641,5.75
455,39,1,1,0,13,0,0,1,1,9,8,0,9.202893,7,10.96154,2
456,36,1,1,0,12,0,0,1,1,6,6,,3.762542,30,7.038462,.3333333
457,38,1,1,0,14,0,0,1,0,7,1,,35.73162,45,9.557693,2.333333
459,38,1,0,1,8,0,0,1,0,11,8,,5.852843,30,19.19231,9.666667
460,42,1,1,0,13,0,0,0,0,1,3,,3.099125,3,6.903846,1.5
467,41,1,0,0,14,0,0,0,0,12,3,1,7.238324,40,17.46154,8.333333
469,35,1,0,0,11,0,0,0,0,12,3,0,6.771333,48,15.44872,9.916667
474,35,1,1,0,12,0,0,1,0,6,3,0,2.858293,20,7.275641,1.583333
477,42,1,1,0,12,0,0,0,0,6,3,0,3.099838,30,10.35256,2.25
478,38,1,1,0,12,0,0,1,0,11,3,0,6.586145,32,5.897436,1.833333
481,37,1,1,0,12,0,0,0,0,11,3,1,8.293073,38,14.5,7.333333
483,42,1,1,0,12,0,0,0,0,6,3,0,5.032206,40,5.75641,3
485,35,1,1,0,17,1,1,1,0,11,2,0,3.623188,40,11.78846,.0833333
486,38,2,0,0,18,1,0,1,0,11,13,,11.07395,40,15.69231,6.75
487,36,2,0,0,12,0,0,0,0,9,8,,6.650957,22,12.57692,2.083333
488,43,1,1,0,16,1,1,1,1,6,4,0,12.38325,25,8.01282,1
492,39,1,1,0,12,0,0,1,0,5,4,0,7.246377,50,14.28846,3.916667
495,38,1,1,0,16,1,0,1,0,11,13,1,8.599029,45,13.66667,13.66667
496,40,1,1,0,12,0,0,1,0,11,1,0,12.85024,40,18.48077,11.75
499,38,1,0,0,10,0,0,1,1,3,6,,4.105351,40,5.288462,.3333333
504,43,1,1,0,16,1,0,1,0,11,13,1,10.32206,60,15.05769,14.41667
505,36,1,1,0,14,0,0,0,0,11,3,1,6.030594,18,18.58333,18.58333
507,39,1,1,0,12,0,0,0,0,11,3,,38.70926,40,8.423077,5.833333
510,35,1,1,0,12,0,0,0,0,12,3,1,7.528179,40,9.166667,7.5
516,35,1,1,0,12,0,0,1,0,11,8,1,3.566825,40,13.40385,6.916667
518,43,1,1,0,12,0,0,0,0,6,2,0,6.811594,40,16.92949,16.91667
519,36,1,1,0,12,0,1,1,1,11,3,1,6.344604,40,12.46154,5.666667
521,39,1,0,0,7,0,0,0,0,4,6,0,5.90177,40,5.923077,1
522,41,1,1,0,14,0,0,1,1,11,2,0,5.450883,40,9.576923,6.916667
524,38,1,1,0,12,0,0,1,1,11,3,1,5.289855,20,21.75,1
526,38,1,1,0,12,0,0,1,1,12,3,,7.265882,35,10.07692,3.166667
531,40,1,0,0,16,1,0,1,0,7,4,0,1.545893,50,11.82692,1.166667
533,35,1,1,0,16,1,0,1,0,11,3,1,5.611914,40,11.02564,3.833333
538,45,1,0,0,12,0,0,1,0,6,4,,3.553512,12,10.16026,.5833333
540,42,1,1,0,9,0,0,1,0,6,8,1,3.454104,35,7.730769,4.166667
541,38,1,0,0,13,0,1,0,0,7,4,0,22.52012,55,16.98077,13.41667
543,41,1,0,0,6,0,0,1,0,9,3,1,4.428341,40,3.346154,1.25
548,38,1,1,0,12,0,0,1,1,11,3,,4.777829,35,9.423077,1.583333
549,43,1,0,0,12,0,0,1,0,3,3,0,6.280193,30,17.01923,.25
551,36,1,1,0,16,1,1,1,0,11,1,,9.661837,24,14.07692,3.083333
555,36,1,1,0,12,0,0,1,0,8,2,0,12.58454,40,16.36539,1.333333
558,42,2,0,0,12,0,0,1,1,11,1,,4.180602,40,6.416667,1.416667
562,44,2,1,0,12,0,0,1,1,6,3,0,8.373587,37,8.121795,1.416667
570,36,2,0,1,16,1,0,1,1,4,1,1,20.78905,35,11.46154,10.33333
572,35,1,0,0,14,0,0,1,1,11,1,1,7.987117,38,7.967948,6.333333
576,36,1,0,1,11,0,0,1,1,9,8,0,2.520128,24,6.173077,3
584,42,1,0,0,12,0,0,1,1,12,3,1,11.0628,35,14.44872,3.583333
585,43,1,0,0,12,0,0,1,0,11,3,1,9.677936,40,17.12179,1.333333
588,45,1,1,0,16,1,0,1,0,11,13,1,8.904991,40,4.25,2.083333
595,40,1,1,0,12,0,0,1,0,7,3,0,4.21095,35,11.61539,1.583333
604,43,1,1,0,12,0,0,0,0,8,3,0,4.180602,40,2.807692,.8333333
606,42,1,1,0,16,1,0,1,1,7,4,,1.837627,35,17.19872,1.083333
608,45,1,1,0,16,1,1,1,1,6,4,,8.691476,37,9.301282,1.833333
609,38,1,0,0,12,0,0,1,0,5,3,1,10.06441,40,9.557693,7.75
614,42,1,0,1,12,0,0,1,0,5,3,1,11.94847,35,20.34615,20.33333
617,42,1,1,0,17,1,0,1,0,11,13,1,19.91143,35,14.75,14.75
618,40,1,1,0,16,1,1,1,0,11,2,0,7.938803,40,4.75,2.416667
624,45,1,1,0,12,0,0,1,0,6,4,0,10.06441,40,9.583333,4.833333
635,40,1,0,0,12,0,0,1,1,11,8,1,7.520126,35,9.692307,2.416667
636,42,2,0,0,12,0,1,0,0,6,3,,2.717391,40,3.339744,.1666667
641,42,1,0,0,18,1,0,1,1,11,13,1,18.38969,32,12.08974,10.66667
643,40,1,0,0,15,0,0,1,1,7,4,0,12.69726,50,14.01923,2.083333
644,34,1,1,0,17,1,0,1,0,11,1,,9.647542,35,13.42949,1.166667
646,42,1,1,0,16,1,0,1,0,8,3,0,15.09662,20,18.76923,15.66667
654,44,1,1,0,14,0,1,1,0,7,2,,7.734114,40,11.25,2.333333
655,45,1,0,0,13,0,0,0,0,11,3,,13.90636,37,11.3141,.5
656,42,1,1,0,10,0,0,1,0,12,3,0,5.636071,28,7.326923,2.083333
659,38,1,1,0,17,1,0,1,0,11,1,1,9.734298,35,10.58333,3.666667
661,44,1,0,0,18,1,0,1,0,11,2,0,10.17713,35,2.615385,1.083333
664,42,1,1,0,12,0,0,1,0,6,3,0,3.623188,27,6.365385,1.583333
665,40,1,0,0,8,0,1,1,0,10,1,0,10.06441,20,14.92308,9.416667
670,44,1,0,1,16,1,0,1,0,5,4,0,9.677936,40,20.33333,20.33333
671,45,1,1,0,12,0,1,1,0,4,3,0,5.233495,40,11.78846,1.666667
681,41,2,1,0,12,0,0,1,0,7,3,0,6.191625,40,11.01282,3.916667
683,45,1,1,0,17,1,0,1,0,4,2,0,12.77777,40,10.55128,6.583333
684,37,1,0,0,12,0,0,1,1,7,2,0,11.6103,40,11.71154,3.166667
688,38,1,0,0,9,0,0,1,0,6,8,0,4.355878,37,6.538462,2.25
689,36,1,1,0,15,1,1,1,0,11,13,0,6.425121,40,7.544872,.75
690,39,1,1,0,15,0,0,1,0,11,1,1,7.455712,38,12.40385,4.75
691,45,1,1,0,12,0,0,1,0,5,3,0,16.29629,38,14.76923,13.08333
692,45,1,1,0,12,0,0,1,0,8,8,0,5.032206,16,8.410256,3.833333
693,41,1,1,0,12,0,0,1,0,12,3,,4.421789,40,7.685897,2.333333
694,43,1,0,0,14,0,1,1,1,7,2,,40.19808,40,11.72436,.6666667
696,43,1,1,0,14,0,0,1,0,11,3,1,5.676328,35,11.72436,6.416667
697,41,1,1,0,14,0,0,1,0,11,8,1,9.057972,40,15.48077,1.333333
699,43,1,0,0,16,1,0,1,0,7,2,0,8.05153,50,11.34615,1.166667
714,36,1,1,0,18,1,0,1,1,6,1,0,15.86956,40,9.788462,2
716,39,1,1,0,12,0,0,1,0,6,2,0,16.64251,40,19.1859,12.83333
718,38,2,0,0,10,0,0,1,0,4,6,1,3.762542,40,1.474359,.5
719,39,2,0,0,11,0,0,1,0,5,6,0,5.685618,30,2.942308,2.083333
722,36,1,1,0,12,0,1,1,0,4,1,0,3.344482,40,7.025642,.1666667
724,35,1,1,0,13,0,0,1,0,7,3,0,7.487919,43,14.00641,9.916667
727,37,1,0,1,12,0,0,1,0,7,2,0,10.18518,50,18.87179,1.333333
730,44,1,1,0,12,0,0,1,0,5,5,1,6.70692,60,14.20513,5.333333
731,42,1,1,0,12,0,1,0,0,12,8,,2.232711,16,17.5,7.083333
732,40,1,0,1,16,1,0,1,0,6,8,1,4.315618,28,16.59615,6
737,41,1,1,0,17,1,0,1,0,11,13,0,9.999998,30,13.00641,6.75
745,38,1,1,0,12,0,0,0,0,11,2,0,13.26892,35,14.19231,1.416667
748,39,1,1,0,12,0,1,1,1,5,3,1,9.33172,37,19.59615,6.5
749,35,1,1,0,12,0,0,1,0,5,3,1,11.98873,35,17.00641,3.416667
750,35,1,1,0,12,0,1,1,1,7,2,0,5,40,15.19231,4.5
754,36,1,1,0,12,0,1,0,0,6,8,0,3.220612,35,5.115385,1.916667
757,42,1,0,1,18,1,0,1,0,11,13,1,18.23671,45,18.73077,18.58333
761,41,2,1,0,13,0,0,1,0,12,3,1,13.26892,35,18.71795,18.66667
762,41,2,0,0,13,0,0,1,0,7,2,0,11.65056,38,17.55128,17.5
763,36,2,0,0,15,0,0,1,0,11,1,1,8.848629,35,8.596154,7.916667
764,44,2,1,0,11,0,0,1,0,11,1,0,8.148145,38,15.3782,7
768,37,2,1,0,12,0,0,1,1,6,3,0,5.233495,37,12.98718,5.416667
769,41,1,1,0,12,0,0,1,0,6,3,0,20.12883,10,13.26923,0
770,40,1,1,0,18,1,0,1,0,6,4,0,4.790658,21,18.83333,18.83333
771,38,1,1,0,18,1,0,1,0,11,13,0,10.45088,40,14.30128,10.83333
773,37,1,0,0,16,1,1,1,0,4,1,0,9.911431,40,13.74359,5.916667
779,42,1,0,1,18,1,0,1,0,11,1,1,10.06441,40,13.59615,4.833333
781,36,1,0,1,16,1,0,1,1,4,2,0,22.36715,45,14.15385,1.333333
784,44,1,1,0,16,1,1,1,1,11,13,1,10.06441,40,15.07692,10.5
785,45,1,0,0,18,1,1,1,0,11,1,0,8.518515,40,12.87179,2.833333
790,38,1,1,0,14,0,0,1,1,11,1,,8.779264,40,13.78846,1.916667
792,36,1,1,0,10,0,0,1,0,4,6,0,9.847019,40,9.057693,4
793,39,1,1,0,13,0,0,1,1,8,3,,4.180602,40,8.75,.25
795,44,2,1,0,10,0,0,1,0,5,3,0,11.6103,40,15.32692,10.16667
796,38,1,0,0,12,0,0,1,0,7,3,,4.389632,35,9.448719,1.75
798,38,1,0,0,11,0,0,1,1,12,11,1,9.565216,40,8.532051,3.5
800,37,2,1,0,12,0,1,0,0,12,3,1,11.28824,35,19.35897,7.833333
802,38,1,1,0,12,0,0,0,0,8,3,0,5.982284,35,11.16026,3.5
808,39,1,0,0,12,0,0,1,0,6,,0,7.946856,38,12.94231,7
809,40,1,1,0,12,0,0,1,0,6,3,1,6.561992,20,11.04487,5
810,40,1,0,0,12,0,0,1,0,5,3,1,10.06441,40,21.96795,21.91667
813,34,1,0,1,14,0,0,1,0,5,1,0,15.48309,40,14.58333,14.58333
816,36,2,0,1,16,1,0,1,0,11,2,,6.857069,35,8.282052,1.416667
817,43,2,1,0,11,0,0,1,0,11,3,0,4.227053,35,5.25,.5
823,35,1,0,0,12,0,0,1,1,11,1,0,6.038648,40,13.33333,13.33333
824,44,1,1,0,10,0,0,0,0,4,6,0,6.441224,40,14.08333,14.08333
