ln_wage,idcode,t,Choice,working,exper,collgrad,race,race1,age
1.518572,6,4,1,1,3,0,1,1,25
1.607294,6,5,1,1,4,0,1,1,26
1.809742,6,6,1,1,5,0,1,1,27
1.853972,6,7,1,1,5,0,1,1,29
1.96311,6,8,1,1,5,0,1,1,31
1.982733,6,9,1,1,6,0,1,1,32
1.846798,6,10,1,1,6,0,1,1,34
1.814825,6,11,1,1,6,0,1,1,36
1.919913,6,12,1,1,7,0,1,1,37
1.958377,6,13,1,1,7,0,1,1,39
2.007068,6,14,1,1,7,0,1,1,41
2.089854,6,15,1,1,8,0,1,1,42
1.482067,7,1,1,1,0,0,1,1,19
1.490434,7,2,1,1,1,0,1,1,20
1.539446,7,3,1,1,2,0,1,1,21
1.49388,7,4,1,1,3,0,1,1,22
1.454573,7,5,1,1,4,0,1,1,23
1.454573,7,6,1,1,5,0,1,1,24
999,7,7,2,0,5,0,1,1,26
999,7,8,2,0,5,0,1,1,28
999,7,9,2,0,5,0,1,1,29
999,7,10,2,0,5,0,1,1,31
999,7,11,2,0,5,0,1,1,33
999,7,12,2,0,5,0,1,1,34
999,7,13,2,0,5,0,1,1,36
.4733421,7,14,1,1,5,0,1,1,38
1.532477,7,15,1,1,6,0,1,1,39
999,8,1,2,0,0,0,1,1,17
999,8,2,2,0,0,0,1,1,18
1.472237,8,3,1,1,0,0,1,1,19
1.717023,8,4,1,1,1,0,1,1,20
1.747242,8,5,1,1,2,0,1,1,21
1.799792,8,6,1,1,3,0,1,1,22
2.017152,8,7,1,1,3,0,1,1,24
2.091364,8,8,1,1,3,0,1,1,26
2.114099,8,9,1,1,4,0,1,1,27
2.113776,8,10,1,1,4,0,1,1,29
2.312535,8,11,1,1,4,0,1,1,31
2.34858,8,12,1,1,5,0,1,1,32
2.373487,8,13,1,1,5,0,1,1,34
2.368899,8,14,1,1,5,0,1,1,36
2.350531,8,15,1,1,6,0,1,1,37
999,9,1,2,0,0,0,1,1,17
1.361601,9,2,1,1,0,0,1,1,18
1.461484,9,3,1,1,1,0,1,1,19
1.611663,9,4,1,1,2,0,1,1,20
1.301507,9,5,1,1,3,0,1,1,21
999,9,6,2,0,4,0,1,1,22
1.391349,9,7,1,1,4,0,1,1,24
1.321256,9,8,1,1,4,0,1,1,26
1.416566,9,9,1,1,5,0,1,1,27
1.275272,9,10,1,1,5,0,1,1,29
.7974494,9,11,1,1,5,0,1,1,31
999,9,12,2,0,6,0,1,1,32
999,9,13,2,0,6,0,1,1,34
999,9,14,2,0,6,0,1,1,36
999,9,15,2,0,6,0,1,1,37
999,10,1,2,0,0,1,1,1,21
999,10,2,2,0,0,1,1,1,22
999,10,3,2,0,0,1,1,1,23
999,10,4,2,0,0,1,1,1,24
999,10,5,2,0,0,1,1,1,25
999,10,6,2,0,0,1,1,1,26
999,10,7,2,0,0,1,1,1,28
999,10,8,2,0,0,1,1,1,30
999,10,9,2,0,0,1,1,1,31
999,10,10,2,0,0,1,1,1,33
999,10,11,2,0,0,1,1,1,35
999,10,12,2,0,0,1,1,1,36
999,10,13,2,0,0,1,1,1,38
3.000736,10,14,1,1,0,1,1,1,40
2.845265,10,15,1,1,1,1,1,1,41
999,11,1,2,0,0,0,1,1,21
999,11,2,2,0,0,0,1,1,22
1.952854,11,3,1,1,0,0,1,1,23
1.954463,11,4,1,1,1,0,1,1,24
999,11,5,2,0,2,0,1,1,25
1.86433,11,6,1,1,2,0,1,1,26
2.094945,11,7,1,1,2,0,1,1,28
999,11,8,2,0,2,0,1,1,30
2.125834,11,9,1,1,2,0,1,1,31
2.050446,11,10,1,1,2,0,1,1,33
2.119863,11,11,1,1,2,0,1,1,35
2.667868,11,12,1,1,3,0,1,1,36
3.579129,11,13,1,1,3,0,1,1,38
1.678877,11,14,1,1,3,0,1,1,40
2.57137,11,15,1,1,4,0,1,1,41
999,12,1,2,0,0,0,1,1,21
999,12,2,2,0,0,0,1,1,22
999,12,3,2,0,0,0,1,1,23
999,12,4,2,0,0,0,1,1,24
999,12,5,2,0,0,0,1,1,25
999,12,6,2,0,0,0,1,1,26
999,12,7,2,0,0,0,1,1,28
999,12,8,2,0,0,0,1,1,30
999,12,9,2,0,0,0,1,1,31
999,12,10,2,0,0,0,1,1,33
999,12,11,2,0,0,0,1,1,35
999,12,12,2,0,0,0,1,1,36
999,12,13,2,0,0,0,1,1,38
2.143405,12,14,1,1,0,0,1,1,40
2.047121,12,15,1,1,1,0,1,1,41
999,13,1,2,0,0,1,1,1,20
999,13,2,2,0,0,1,1,1,21
999,13,3,2,0,0,1,1,1,22
999,13,4,2,0,0,1,1,1,23
999,13,5,2,0,0,1,1,1,24
999,13,6,2,0,0,1,1,1,25
999,13,7,2,0,0,1,1,1,27
2.205023,13,8,1,1,0,1,1,1,29
2.340595,13,9,1,1,1,1,1,1,30
2.383516,13,10,1,1,1,1,1,1,32
2.539237,13,11,1,1,1,1,1,1,34
2.485547,13,12,1,1,2,1,1,1,35
2.307946,13,13,1,1,2,1,1,1,37
2.813745,13,14,1,1,2,1,1,1,39
2.82111,13,15,1,1,3,1,1,1,40
999,14,1,2,0,0,0,1,1,20
999,14,2,2,0,0,0,1,1,21
2.043247,14,3,1,1,0,0,1,1,22
1.984131,14,4,1,1,1,0,1,1,23
2.011328,14,5,1,1,2,0,1,1,24
2.087474,14,6,1,1,3,0,1,1,25
1.832581,14,7,1,1,3,0,1,1,27
1.93536,14,8,1,1,3,0,1,1,29
2.01862,14,9,1,1,4,0,1,1,30
1.979646,14,10,1,1,4,0,1,1,32
2.128231,14,11,1,1,4,0,1,1,34
2.171384,14,12,1,1,5,0,1,1,35
2.253929,14,13,1,1,5,0,1,1,37
2.64418,14,14,1,1,5,0,1,1,39
2.739748,14,15,1,1,6,0,1,1,40
999,15,1,2,0,0,1,1,1,20
999,15,2,2,0,0,1,1,1,21
2.000029,15,3,1,1,0,1,1,1,22
1.954463,15,4,1,1,1,1,1,1,23
2.083182,15,5,1,1,2,1,1,1,24
2.647089,15,6,1,1,3,1,1,1,25
999,15,7,2,0,3,1,1,1,27
2.039102,15,8,1,1,3,1,1,1,29
999,15,9,2,0,4,1,1,1,30
999,15,10,2,0,4,1,1,1,32
999,15,11,2,0,4,1,1,1,34
999,15,12,2,0,4,1,1,1,35
999,15,13,2,0,4,1,1,1,37
2.372024,15,14,1,1,4,1,1,1,39
999,15,15,2,0,5,1,1,1,40
999,16,1,2,0,0,0,1,1,20
999,16,2,2,0,0,0,1,1,21
999,16,3,2,0,0,0,1,1,22
999,16,4,2,0,0,0,1,1,23
999,16,5,2,0,0,0,1,1,24
999,16,6,2,0,0,0,1,1,25
999,16,7,2,0,0,0,1,1,27
1.237874,16,8,1,1,0,0,1,1,29
999,16,9,2,0,1,0,1,1,30
999,16,10,2,0,1,0,1,1,32
999,16,11,2,0,1,0,1,1,34
999,16,12,2,0,1,0,1,1,35
1.538907,16,13,1,1,1,0,1,1,37
1.629306,16,14,1,1,1,0,1,1,39
1.655079,16,15,1,1,2,0,1,1,40
999,17,1,2,0,0,0,1,1,20
999,17,2,2,0,0,0,1,1,21
2.01878,17,3,1,1,0,0,1,1,22
2.042001,17,4,1,1,1,0,1,1,23
1.773027,17,5,1,1,2,0,1,1,24
1.798163,17,6,1,1,3,0,1,1,25
1.932793,17,7,1,1,3,0,1,1,27
999,17,8,2,0,3,0,1,1,29
1.780994,17,9,1,1,3,0,1,1,30
1.704118,17,10,1,1,3,0,1,1,32
1.811562,17,11,1,1,3,0,1,1,34
2.139105,17,12,1,1,4,0,1,1,35
2.192834,17,13,1,1,4,0,1,1,37
2.284871,17,14,1,1,4,0,1,1,39
2.318559,17,15,1,1,5,0,1,1,40
999,18,1,2,0,0,0,1,1,20
999,18,2,2,0,0,0,1,1,21
2.01878,18,3,1,1,0,0,1,1,22
2.081666,18,4,1,1,1,0,1,1,23
2.117261,18,5,1,1,2,0,1,1,24
2.099896,18,6,1,1,3,0,1,1,25
2.082393,18,7,1,1,3,0,1,1,27
2.10058,18,8,1,1,3,0,1,1,29
1.990396,18,9,1,1,4,0,1,1,30
1.958695,18,10,1,1,4,0,1,1,32
1.927315,18,11,1,1,4,0,1,1,34
2.068818,18,12,1,1,5,0,1,1,35
2.192834,18,13,1,1,5,0,1,1,37
2.218913,18,14,1,1,5,0,1,1,39
2.268184,18,15,1,1,6,0,1,1,40
999,19,1,2,0,0,0,1,1,20
999,19,2,2,0,0,0,1,1,21
1.907555,19,3,1,1,0,0,1,1,22
999,19,4,2,0,1,0,1,1,23
2.208345,19,5,1,1,1,0,1,1,24
2.194083,19,6,1,1,2,0,1,1,25
1.910543,19,7,1,1,2,0,1,1,27
999,19,8,2,0,2,0,1,1,29
999,19,9,2,0,2,0,1,1,30
999,19,10,2,0,2,0,1,1,32
999,19,11,2,0,2,0,1,1,34
999,19,12,2,0,2,0,1,1,35
.9855224,19,13,1,1,2,0,1,1,37
999,19,14,2,0,2,0,1,1,39
999,19,15,2,0,2,0,1,1,40
999,20,1,2,0,0,0,1,1,21
1.949388,20,2,1,1,0,0,1,1,22
1.971228,20,3,1,1,1,0,1,1,23
2.042001,20,4,1,1,2,0,1,1,24
2.321673,20,5,1,1,3,0,1,1,25
2.320567,20,6,1,1,4,0,1,1,26
2.316008,20,7,1,1,4,0,1,1,28
2.129515,20,8,1,1,4,0,1,1,30
2.056841,20,9,1,1,5,0,1,1,31
2.160106,20,10,1,1,5,0,1,1,33
2.209372,20,11,1,1,5,0,1,1,35
999,20,12,2,0,6,0,1,1,36
2.252045,20,13,1,1,6,0,1,1,38
2.007068,20,14,1,1,6,0,1,1,40
2.203645,20,15,1,1,7,0,1,1,41
999,21,1,2,0,0,1,1,1,22
999,21,2,2,0,0,1,1,1,23
999,21,3,2,0,0,1,1,1,24
999,21,4,2,0,0,1,1,1,25
999,21,5,2,0,0,1,1,1,26
999,21,6,2,0,0,1,1,1,27
1.910543,21,7,1,1,0,1,1,1,29
1.854699,21,8,1,1,0,1,1,1,31
999,21,9,2,0,1,1,1,1,32
999,21,10,2,0,1,1,1,1,34
1.856298,21,11,1,1,1,1,1,1,36
1.873795,21,12,1,1,2,1,1,1,37
999,21,13,2,0,2,1,1,1,39
1.796486,21,14,1,1,2,1,1,1,41
2.085862,21,15,1,1,3,1,1,1,42
1.3722,22,1,1,1,0,1,1,1,22
1.949388,22,2,1,1,1,1,1,1,23
2.000029,22,3,1,1,2,1,1,1,24
2.087567,22,4,1,1,3,1,1,1,25
2.099055,22,5,1,1,4,1,1,1,26
2.038808,22,6,1,1,5,1,1,1,27
1.880084,22,7,1,1,5,1,1,1,29
1.806148,22,8,1,1,5,1,1,1,31
1.857954,22,9,1,1,6,1,1,1,32
1.998605,22,10,1,1,6,1,1,1,34
2.162172,22,11,1,1,6,1,1,1,36
2.119687,22,12,1,1,7,1,1,1,37
2.307946,22,13,1,1,7,1,1,1,39
2.386735,22,14,1,1,7,1,1,1,41
2.406495,22,15,1,1,8,1,1,1,42
1.885603,23,1,1,1,0,1,1,1,22
1.99021,23,2,1,1,1,1,1,1,23
2.043247,23,3,1,1,2,1,1,1,24
2.168054,23,4,1,1,3,1,1,1,25
999,23,5,2,0,4,1,1,1,26
999,23,6,2,0,4,1,1,1,27
2.078174,23,7,1,1,4,1,1,1,29
2.109713,23,8,1,1,4,1,1,1,31
2.115784,23,9,1,1,5,1,1,1,32
2.096898,23,10,1,1,5,1,1,1,34
2.226783,23,11,1,1,5,1,1,1,36
2.311193,23,12,1,1,6,1,1,1,37
2.154093,23,13,1,1,6,1,1,1,39
2.266836,23,14,1,1,6,1,1,1,41
2.259815,23,15,1,1,7,1,1,1,42
1.934577,24,1,1,1,0,1,1,1,24
2.132866,24,2,1,1,1,1,1,1,25
2.043247,24,3,1,1,2,1,1,1,26
2.122488,24,4,1,1,3,1,1,1,27
999,24,5,2,0,4,1,1,1,28
999,24,6,2,0,4,1,1,1,29
999,24,7,2,0,4,1,1,1,31
999,24,8,2,0,4,1,1,1,33
999,24,9,2,0,4,1,1,1,34
999,24,10,2,0,4,1,1,1,36
999,24,11,2,0,4,1,1,1,38
1.15374,24,12,1,1,4,1,1,1,39
999,24,13,2,0,4,1,1,1,41
1.901707,24,14,1,1,4,1,1,1,43
999,24,15,2,0,5,1,1,1,44
1.991736,25,1,1,1,0,1,1,1,22
1.99021,25,2,1,1,1,1,1,1,23
2.168054,25,3,1,1,2,1,1,1,24
2.122488,25,4,1,1,3,1,1,1,25
999,25,5,2,0,4,1,1,1,26
999,25,6,2,0,4,1,1,1,27
999,25,7,2,0,4,1,1,1,29
999,25,8,2,0,4,1,1,1,31
999,25,9,2,0,4,1,1,1,32
999,25,10,2,0,4,1,1,1,34
999,25,11,2,0,4,1,1,1,36
999,25,12,2,0,4,1,1,1,37
999,25,13,2,0,4,1,1,1,39
999,25,14,2,0,4,1,1,1,41
999,25,15,2,0,4,1,1,1,42
999,26,1,2,0,0,0,1,1,20
1.931875,26,2,1,1,0,0,1,1,21
1.728845,26,3,1,1,1,0,1,1,22
2.111764,26,4,1,1,2,0,1,1,23
1.673709,26,5,1,1,3,0,1,1,24
999,26,6,2,0,4,0,1,1,25
999,26,7,2,0,4,0,1,1,27
999,26,8,2,0,4,0,1,1,29
999,26,9,2,0,4,0,1,1,30
999,26,10,2,0,4,0,1,1,32
999,26,11,2,0,4,0,1,1,34
999,26,12,2,0,4,0,1,1,35
999,26,13,2,0,4,0,1,1,37
999,26,14,2,0,4,0,1,1,39
999,26,15,2,0,4,0,1,1,40
999,27,1,2,0,0,0,1,1,18
999,27,2,2,0,0,0,1,1,19
1.479384,27,3,1,1,0,0,1,1,20
1.539446,27,4,1,1,1,0,1,1,21
1.57679,27,5,1,1,2,0,1,1,22
1.06153,27,6,1,1,3,0,1,1,23
999,27,7,2,0,3,0,1,1,25
1.677365,27,8,1,1,3,0,1,1,27
999,27,9,2,0,4,0,1,1,28
999,27,10,2,0,4,0,1,1,30
1.410987,27,11,1,1,4,0,1,1,32
1.382926,27,12,1,1,5,0,1,1,33
999,27,13,2,0,5,0,1,1,35
999,27,14,2,0,5,0,1,1,37
999,27,15,2,0,5,0,1,1,38
1.565217,28,1,1,1,0,0,1,1,22
999,28,2,2,0,1,0,1,1,23
999,28,3,2,0,1,0,1,1,24
999,28,4,2,0,1,0,1,1,25
999,28,5,2,0,1,0,1,1,26
999,28,6,2,0,1,0,1,1,27
999,28,7,2,0,1,0,1,1,29
999,28,8,2,0,1,0,1,1,31
999,28,9,2,0,1,0,1,1,32
999,28,10,2,0,1,0,1,1,34
999,28,11,2,0,1,0,1,1,36
999,28,12,2,0,1,0,1,1,37
999,28,13,2,0,1,0,1,1,39
999,28,14,2,0,1,0,1,1,41
999,28,15,2,0,1,0,1,1,42
999,29,1,2,0,0,0,1,1,16
999,29,2,2,0,0,0,1,1,17
999,29,3,2,0,0,0,1,1,18
999,29,4,2,0,0,0,1,1,19
999,29,5,2,0,0,0,1,1,20
999,29,6,2,0,0,0,1,1,21
999,29,7,2,0,0,0,1,1,23
999,29,8,2,0,0,0,1,1,25
999,29,9,2,0,0,0,1,1,26
999,29,10,2,0,0,0,1,1,28
1.131402,29,11,1,1,0,0,1,1,30
999,29,12,2,0,1,0,1,1,31
999,29,13,2,0,1,0,1,1,33
999,29,14,2,0,1,0,1,1,35
999,29,15,2,0,1,0,1,1,36
999,30,1,2,0,0,0,1,1,17
999,30,2,2,0,0,0,1,1,18
1.767067,30,3,1,1,0,0,1,1,19
1.597714,30,4,1,1,1,0,1,1,20
1.301507,30,5,1,1,2,0,1,1,21
1.61747,30,6,1,1,3,0,1,1,22
2.086594,30,7,1,1,3,0,1,1,24
2.262825,30,8,1,1,3,0,1,1,26
2.321949,30,9,1,1,4,0,1,1,27
999,30,10,2,0,4,0,1,1,29
999,30,11,2,0,4,0,1,1,31
999,30,12,2,0,4,0,1,1,32
999,30,13,2,0,4,0,1,1,34
999,30,14,2,0,4,0,1,1,36
1.430455,30,15,1,1,4,0,1,1,37
1.416372,31,1,1,1,0,0,1,1,20
1.297063,31,2,1,1,1,0,1,1,21
1.297063,31,3,1,1,2,0,1,1,22
999,31,4,2,0,3,0,1,1,23
999,31,5,2,0,3,0,1,1,24
999,31,6,2,0,3,0,1,1,25
999,31,7,2,0,3,0,1,1,27
999,31,8,2,0,3,0,1,1,29
999,31,9,2,0,3,0,1,1,30
999,31,10,2,0,3,0,1,1,32
999,31,11,2,0,3,0,1,1,34
999,31,12,2,0,3,0,1,1,35
999,31,13,2,0,3,0,1,1,37
999,31,14,2,0,3,0,1,1,39
999,31,15,2,0,3,0,1,1,40
1.753725,32,1,1,1,0,0,1,1,24
1.754488,32,2,1,1,1,0,1,1,25
1.754488,32,3,1,1,2,0,1,1,26
1.49388,32,4,1,1,3,0,1,1,27
1.598673,32,5,1,1,4,0,1,1,28
999,32,6,2,0,5,0,1,1,29
1.440539,32,7,1,1,5,0,1,1,31
1.321256,32,8,1,1,5,0,1,1,33
999,32,9,2,0,6,0,1,1,34
999,32,10,2,0,6,0,1,1,36
999,32,11,2,0,6,0,1,1,38
999,32,12,2,0,6,0,1,1,39
999,32,13,2,0,6,0,1,1,41
999,32,14,2,0,6,0,1,1,43
999,32,15,2,0,6,0,1,1,44
999,33,1,2,0,0,1,1,1,25
999,33,2,2,0,0,1,1,1,26
999,33,3,2,0,0,1,1,1,27
999,33,4,2,0,0,1,1,1,28
999,33,5,2,0,0,1,1,1,29
999,33,6,2,0,0,1,1,1,30
999,33,7,2,0,0,1,1,1,32
999,33,8,2,0,0,1,1,1,34
999,33,9,2,0,0,1,1,1,35
999,33,10,2,0,0,1,1,1,37
2.279316,33,11,1,1,0,1,1,1,39
2.343061,33,12,1,1,1,1,1,1,40
2.314166,33,13,1,1,1,1,1,1,42
2.266836,33,14,1,1,1,1,1,1,44
2.281429,33,15,1,1,2,1,1,1,45
999,34,1,2,0,0,0,1,1,18
999,34,2,2,0,0,0,1,1,19
999,34,3,2,0,0,0,1,1,20
1.75239,34,4,1,1,0,0,1,1,21
999,34,5,2,0,1,0,1,1,22
999,34,6,2,0,1,0,1,1,23
999,34,7,2,0,1,0,1,1,25
999,34,8,2,0,1,0,1,1,27
999,34,9,2,0,1,0,1,1,28
999,34,10,2,0,1,0,1,1,30
999,34,11,2,0,1,0,1,1,32
999,34,12,2,0,1,0,1,1,33
999,34,13,2,0,1,0,1,1,35
999,34,14,2,0,1,0,1,1,37
999,34,15,2,0,1,0,1,1,38
1.403949,35,1,1,1,0,0,1,1,21
1.403949,35,2,1,1,1,0,1,1,22
1.196955,35,3,1,1,2,0,1,1,23
1.633641,35,4,1,1,3,0,1,1,24
1.896048,35,5,1,1,4,0,1,1,25
2.014189,35,6,1,1,5,0,1,1,26
1.807956,35,7,1,1,5,0,1,1,28
1.739161,35,8,1,1,5,0,1,1,30
999,35,9,2,0,6,0,1,1,31
999,35,10,2,0,6,0,1,1,33
999,35,11,2,0,6,0,1,1,35
999,35,12,2,0,6,0,1,1,36
999,35,13,2,0,6,0,1,1,38
999,35,14,2,0,6,0,1,1,40
999,35,15,2,0,6,0,1,1,41
999,36,1,2,0,0,1,1,1,15
999,36,2,2,0,0,1,1,1,16
999,36,3,2,0,0,1,1,1,17
999,36,4,2,0,0,1,1,1,18
999,36,5,2,0,0,1,1,1,19
999,36,6,2,0,0,1,1,1,20
999,36,7,2,0,0,1,1,1,22
999,36,8,2,0,0,1,1,1,24
999,36,9,2,0,0,1,1,1,25
999,36,10,2,0,0,1,1,1,27
999,36,11,2,0,0,1,1,1,29
1.559205,36,12,1,1,0,1,1,1,30
1.817677,36,13,1,1,0,1,1,1,32
999,36,14,2,0,0,1,1,1,34
999,36,15,2,0,0,1,1,1,35
999,37,1,2,0,0,1,1,1,21
999,37,2,2,0,0,1,1,1,22
999,37,3,2,0,0,1,1,1,23
999,37,4,2,0,0,1,1,1,24
999,37,5,2,0,0,1,1,1,25
999,37,6,2,0,0,1,1,1,26
999,37,7,2,0,0,1,1,1,28
2.666665,37,8,1,1,0,1,1,1,30
2.476491,37,9,1,1,1,1,1,1,31
999,37,10,2,0,1,1,1,1,33
2.85766,37,11,1,1,1,1,1,1,35
2.95308,37,12,1,1,2,1,1,1,36
3.145645,37,13,1,1,2,1,1,1,38
3.28513,37,14,1,1,2,1,1,1,40
3.348382,37,15,1,1,3,1,1,1,41
999,38,1,2,0,0,0,1,1,16
999,38,2,2,0,0,0,1,1,17
999,38,3,2,0,0,0,1,1,18
999,38,4,2,0,0,0,1,1,19
1.645193,38,5,1,1,0,0,1,1,20
1.826109,38,6,1,1,1,0,1,1,21
2.123636,38,7,1,1,1,0,1,1,23
2.183301,38,8,1,1,1,0,1,1,25
2.21354,38,9,1,1,2,0,1,1,26
2.209466,38,10,1,1,2,0,1,1,28
2.261763,38,11,1,1,2,0,1,1,30
2.335653,38,12,1,1,3,0,1,1,31
2.292679,38,13,1,1,3,0,1,1,33
2.315048,38,14,1,1,3,0,1,1,35
2.320934,38,15,1,1,4,0,1,1,36
999,39,1,2,0,0,1,1,1,24
999,39,2,2,0,0,1,1,1,25
999,39,3,2,0,0,1,1,1,26
999,39,4,2,0,0,1,1,1,27
999,39,5,2,0,0,1,1,1,28
999,39,6,2,0,0,1,1,1,29
999,39,7,2,0,0,1,1,1,31
999,39,8,2,0,0,1,1,1,33
999,39,9,2,0,0,1,1,1,34
999,39,10,2,0,0,1,1,1,36
999,39,11,2,0,0,1,1,1,38
999,39,12,2,0,0,1,1,1,39
999,39,13,2,0,0,1,1,1,41
1.385458,39,14,1,1,0,1,1,1,43
1.115643,39,15,1,1,1,1,1,1,44
999,40,1,2,0,0,0,1,1,16
999,40,2,2,0,0,0,1,1,17
999,40,3,2,0,0,0,1,1,18
999,40,4,2,0,0,0,1,1,19
999,40,5,2,0,0,0,1,1,20
999,40,6,2,0,0,0,1,1,21
999,40,7,2,0,0,0,1,1,23
999,40,8,2,0,0,0,1,1,25
999,40,9,2,0,0,0,1,1,26
999,40,10,2,0,0,0,1,1,28
999,40,11,2,0,0,0,1,1,30
999,40,12,2,0,0,0,1,1,31
999,40,13,2,0,0,0,1,1,33
1.69282,40,14,1,1,0,0,1,1,35
1.260325,40,15,1,1,1,0,1,1,36
999,41,1,2,0,0,0,1,1,16
999,41,2,2,0,0,0,1,1,17
999,41,3,2,0,0,0,1,1,18
999,41,4,2,0,0,0,1,1,19
999,41,5,2,0,0,0,1,1,20
999,41,6,2,0,0,0,1,1,21
999,41,7,2,0,0,0,1,1,23
999,41,8,2,0,0,0,1,1,25
999,41,9,2,0,0,0,1,1,26
1.331023,41,10,1,1,0,0,1,1,28
999,41,11,2,0,0,0,1,1,30
999,41,12,2,0,0,0,1,1,31
999,41,13,2,0,0,0,1,1,33
1.430455,41,14,1,1,0,0,1,1,35
1.766927,41,15,1,1,1,0,1,1,36
1.708672,42,1,1,1,0,0,1,1,21
1.737466,42,2,1,1,1,0,1,1,22
1.854256,42,3,1,1,2,0,1,1,23
1.848051,42,4,1,1,3,0,1,1,24
999,42,5,2,0,4,0,1,1,25
999,42,6,2,0,4,0,1,1,26
999,42,7,2,0,4,0,1,1,28
999,42,8,2,0,4,0,1,1,30
999,42,9,2,0,4,0,1,1,31
999,42,10,2,0,4,0,1,1,33
1.386294,42,11,1,1,4,0,1,1,35
1.569256,42,12,1,1,5,0,1,1,36
999,42,13,2,0,5,0,1,1,38
999,42,14,2,0,5,0,1,1,40
999,42,15,2,0,5,0,1,1,41
999,43,1,2,0,0,1,1,1,16
999,43,2,2,0,0,1,1,1,17
999,43,3,2,0,0,1,1,1,18
999,43,4,2,0,0,1,1,1,19
999,43,5,2,0,0,1,1,1,20
999,43,6,2,0,0,1,1,1,21
999,43,7,2,0,0,1,1,1,23
999,43,8,2,0,0,1,1,1,25
999,43,9,2,0,0,1,1,1,26
999,43,10,2,0,0,1,1,1,28
999,43,11,2,0,0,1,1,1,30
1.812986,43,12,1,1,0,1,1,1,31
2.154093,43,13,1,1,0,1,1,1,33
999,43,14,2,0,0,1,1,1,35
3.576036,43,15,1,1,0,1,1,1,36
999,44,1,2,0,0,0,1,1,18
999,44,2,2,0,0,0,1,1,19
1.657066,44,3,1,1,0,0,1,1,20
